INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,FUNCTION_NO,DESCRIPTION_OF_FUNCTION,DISPLAY_NAME_OF_FUNCTION,DISPLAY_ORDER,INITAL_VALUE
,,,,,,,,"0","1","日別実績の修正画面で修正した実績を登録することができる","日別実績の登録","1","1"
,,,,,,,,"0","2","日別実績の修正画面で計算処理を行うことができる","日別実績の計算","3","0"
,,,,,,,,"0","3","日別実績の修正画面で再計算処理を行うことができる","日別実績の再計算","4","0"
,,,,,,,,"0","4","日別実績の修正画面で修正した実績を登録することができる","日別実績の保存","2","1"
,,,,,,,,"0","5","日別実績の修正画面で抽出条件を切り替えることができる","日別実績の抽出条件の選択","6","0"
,,,,,,,,"0","7","日別実績の修正画面から帳票印刷ができる","日別実績の印刷","7","0"
,,,,,,,,"0","8","日別実績の修正画面で表示する項目を切り替えることができる","日別実績の表示項目の選択","5","0"
,,,,,,,,"0","9","日別実績の修正画面で月別実績の本人確認ができる","本人締め処理","8","1"
,,,,,,,,"0","11","グリッドの列幅を保存することができる","列幅の保存","17","1"
,,,,,,,,"0","12","ロックされた実績を修正することができる","ロックされた実績の操作","26","0"
,,,,,,,,"0","17","代休の情報を参照することができる","代休参照","23","1"
,,,,,,,,"0","18","振休の情報を参照することができる","振休参照","24","1"
,,,,,,,,"0","19","積立年休の情報を参照することができる","積立年休参照","22","1"
,,,,,,,,"0","20","年休の情報を参照することができる","年休参照","21","1"
,,,,,,,,"0","21","60H超休の情報を参照することができる","60H超休参照","25","1"
,,,,,,,,"0","22","実績の修正画面で修正履歴を参照することができる","修正履歴参照","18","1"
,,,,,,,,"0","23","日別実績の修正画面で打刻情報を参照することができる","打刻参照","10","1"
,,,,,,,,"0","24","日別実績の修正画面でエラーを参照することができる","エラー参照","9","1"
,,,,,,,,"0","25","一括本人確認を行うことができる","一括本人確認","19","0"
,,,,,,,,"0","26","日別実績の修正画面で就業確定を行うことができる","就業確定","11","0"
,,,,,,,,"0","27","一括承認を行うことができる","一括承認","20","0"
,,,,,,,,"0","28","ロックされた実績に対して「日別実績の作成」を実施することができる","ロック状態でも処理可能（日別実績の作成）","27","0"
,,,,,,,,"0","29","ロックされた実績に対して「日別実績の計算」を実施することができる","ロック状態でも処理可能（日別実績の計算）","28","0"
,,,,,,,,"0","30","ロックされた実績に対して「承認結果の反映」を実施することができる","ロック状態でも処理可能（承認結果の反映）","29","0"
,,,,,,,,"0","31","ロックされた実績に対して「月別実績の集計」を実施することができる","ロック状態でも処理可能（月別実績の集計）","30","0"
,,,,,,,,"0","32","月別実績の修正画面で修正した実績を登録することができる","月別実績の登録","12","1"
,,,,,,,,"0","33","月別実績の修正画面で修正した実績を登録することができる","月別実績の保存","13","1"
,,,,,,,,"0","34","月別実績の修正画面で抽出条件を切り替えることができる","月別実績の抽出条件の選択","15","0"
,,,,,,,,"0","35","月別実績の修正画面から帳票印刷ができる","月別実績の印刷","16","0"
,,,,,,,,"0","36","月別実績の修正画面で表示する項目を切り替えることができる","月別実績の表示項目の選択","14","0"
,,,,,,,,"0","51","社員ごとの出力項目設定を登録することができる","帳票自由設定","31","0"
