INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,FUNCTION_NO,NAME,DESCRIPTION,DISPLAY_ORDER,INITIAL_VALUE
,,,,,,,,0,1,"登録","スケジュール修正(職場別)の画面で、対象の組織に所属する社員のスケジュールを登録できます。",1,0
,,,,,,,,0,2,"確定","スケジュール修正(職別別)の画面で、参照できる社員の、スケジュールの確定ができます。",2,0
,,,,,,,,0,3,"完了","完了機能が使用できます。",3,0
,,,,,,,,0,4,"アラームチェック","アラームチェック機能が使用できます。",4,0
,,,,,,,,0,5,"出力","スケジュール表を出力できます。",5,0
,,,,,,,,0,6,"取り込み","Excelからスケジュールの取り込みができます。",6,0
,,,,,,,,0,7,"勤務希望","勤務希望の参照、画面への反映ができます。",7,0
,,,,,,,,0,8,"公開","作成したスケジュールの公開ができます。",8,0
,,,,,,,,0,9,"応援登録","組織間の社員の応援を登録できます。",9,0
,,,,,,,,0,10,"並び順設定","社員の並び順を変更できます。",10,0
,,,,,,,,0,11,"チーム設定","組織内で、社員をチーム分けできます。",11,0
,,,,,,,,0,12,"ランク分け","社員のランクを設定できます。",12,0
,,,,,,,,0,13,"行事登録","行事の登録ができます。",13,0
,,,,,,,,0,14,"集計欄の金額表示","個人計の集計欄の、想定給与額カテゴリが参照できます。",14,0
,,,,,,,,0,15,"予算実績入力","予算/実績を日ごとに入力できます。",15,0
,,,,,,,,0,16,"計画人数入力","条件ごとにその日必要な人員数を入力できます。",16,0
