INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CATEGORY_CD,CATEGORY_PARENT_CD,CATEGORY_TYPE,PERSON_EMPLOYEE_TYPE,FIXED_ATR,ADD_ITEM_OBJ_ATR,INIT_VAL_MASTER_OBJ_ATR,CAN_ABOLITION,EMPLOYMENT_USE_ATR,PERSONNEL_USE_ATR,SALARY_USE_ATR
,,,,,,,,0,"000000000000","CS00001",,1,2,1,1,0,0,1,1,1
,,,,,,,,0,"000000000000","CS00002",,1,1,1,1,0,0,1,1,1
,,,,,,,,0,"000000000000","CS00003",,4,2,1,1,1,0,1,1,1
,,,,,,,,0,"000000000000","CS00004",,3,2,1,1,1,0,1,1,1
,,,,,,,,0,"000000000000","CS00014",,3,2,1,1,1,0,1,1,1
,,,,,,,,0,"000000000000","CS00015",,3,2,1,1,1,0,1,1,1
,,,,,,,,0,"000000000000","CS00016",,3,2,1,1,1,0,1,1,1
,,,,,,,,0,"000000000000","CS00017",,3,2,1,1,1,0,1,1,1
,,,,,,,,0,"000000000000","CS00018",,4,2,1,1,0,1,1,1,1
,,,,,,,,0,"000000000000","CS00019",,4,2,1,1,0,1,1,1,1
,,,,,,,,0,"000000000000","CS00020",,3,2,1,1,1,0,1,0,0
,,,,,,,,0,"000000000000","CS00022",,1,1,1,1,0,1,1,1,1
,,,,,,,,0,"000000000000","CS00023",,1,2,1,1,0,1,1,1,1
,,,,,,,,0,"000000000000","CS00024",,1,2,1,1,1,0,1,0,1
,,,,,,,,0,"000000000000","CS00025",,1,2,1,1,1,0,1,0,0
,,,,,,,,0,"000000000000","CS00026",,1,2,1,1,1,0,1,0,0
,,,,,,,,0,"000000000000","CS00027",,1,2,1,1,1,0,1,0,0
,,,,,,,,0,"000000000000","CS00028",,1,2,1,1,1,0,1,0,0
,,,,,,,,0,"000000000000","CS00029",,1,2,1,1,1,0,1,0,0
,,,,,,,,0,"000000000000","CS00030",,1,2,1,1,1,0,1,0,0
,,,,,,,,0,"000000000000","CS00031",,1,2,1,1,1,0,1,0,0
,,,,,,,,0,"000000000000","CS00032",,1,2,1,1,1,0,1,0,0
,,,,,,,,0,"000000000000","CS00033",,1,2,1,1,1,0,1,0,0
,,,,,,,,0,"000000000000","CS00034",,1,2,1,1,1,0,1,0,0
,,,,,,,,0,"000000000000","CS00035",,1,2,1,0,0,0,1,0,0
,,,,,,,,0,"000000000000","CS00036",,1,2,1,1,1,0,1,1,1
,,,,,,,,0,"000000000000","CS00037","CS00024",2,2,1,0,0,0,1,0,1
,,,,,,,,0,"000000000000","CS00038","CS00024",2,2,1,0,0,0,1,0,1
,,,,,,,,0,"000000000000","CS00039","CS00025",2,2,1,0,0,0,1,0,0
,,,,,,,,0,"000000000000","CS00040","CS00026",2,2,1,0,0,0,1,0,0
