INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CATEGORY_ID,TABLE_NO,TABLE_JAPAN_NAME,TABLE_ENGLISH_NAME,TIME_STOP_DELETE,HAS_PARENT_TBL_FLG,PARENT_TBL_NAME,PARENT_TBL_JP_NAME,FIELD_ACQ_DATE_TIME,FIELD_ACQ_END_DATE,FIELD_ACQ_EMPLOYEE_ID,FIELD_ACQ_START_DATE,FIELD_ACQ_CID,FIELD_PARENT_1,FIELD_PARENT_2,FIELD_PARENT_3,FIELD_PARENT_4,FIELD_PARENT_5,FIELD_PARENT_6,FIELD_PARENT_7,FIELD_PARENT_8,FIELD_PARENT_9,FIELD_PARENT_10,FIELD_CHILD_1,FIELD_CHILD_2,FIELD_CHILD_3,FIELD_CHILD_4,FIELD_CHILD_5,FIELD_CHILD_6,FIELD_CHILD_7,FIELD_CHILD_8,FIELD_CHILD_9,FIELD_CHILD_10,CLS_KEY_QUERY_1,CLS_KEY_QUERY_2,CLS_KEY_QUERY_3,CLS_KEY_QUERY_4,CLS_KEY_QUERY_5,CLS_KEY_QUERY_6,CLS_KEY_QUERY_7,CLS_KEY_QUERY_8,CLS_KEY_QUERY_9,CLS_KEY_QUERY_10,DEFAULT_COND_KEY_QUERY,FIELD_KEY_QUERY_1,FIELD_KEY_QUERY_2,FIELD_KEY_QUERY_3,FIELD_KEY_QUERY_4,FIELD_KEY_QUERY_5,FIELD_KEY_QUERY_6,FIELD_KEY_QUERY_7,FIELD_KEY_QUERY_8,FIELD_KEY_QUERY_9,FIELD_KEY_QUERY_10,FIELD_DATE_1,FIELD_DATE_2,FIELD_DATE_3,FIELD_DATE_4,FIELD_DATE_5,FIELD_DATE_6,FIELD_DATE_7,FIELD_DATE_8,FIELD_DATE_9,FIELD_DATE_10,FIELD_DATE_11,FIELD_DATE_12,FIELD_DATE_13,FIELD_DATE_14,FIELD_DATE_15,FIELD_DATE_16,FIELD_DATE_17,FIELD_DATE_18,FIELD_DATE_19,FIELD_DATE_20,FILED_KEY_UPDATE_1,FILED_KEY_UPDATE_2,FILED_KEY_UPDATE_3,FILED_KEY_UPDATE_4,FILED_KEY_UPDATE_5,FILED_KEY_UPDATE_6,FILED_KEY_UPDATE_7,FILED_KEY_UPDATE_8,FILED_KEY_UPDATE_9,FILED_KEY_UPDATE_10,FILED_KEY_UPDATE_11,FILED_KEY_UPDATE_12,FILED_KEY_UPDATE_13,FILED_KEY_UPDATE_14,FILED_KEY_UPDATE_15,FILED_KEY_UPDATE_16,FILED_KEY_UPDATE_17,FILED_KEY_UPDATE_18,FILED_KEY_UPDATE_19,FILED_KEY_UPDATE_20,HISTORY_CLS,SYSTEM_TYPE
,,,,,,,,0,"00501",1,"勤務予定基本情報","KSCDT_SCHE_BASIC","300",0,"","","YMD","","SID","","","","","","","","","","","","","","","","","","","","","","","5","8","","","","","","","","","","SID","YMD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SID","YMD","","","","","","","","","","","","","","","","","","",0,1
,,,,,,,,0,"00501",2,"勤務予定時間帯","KSCDT_SCHE_TS","300",0,"","","YMD","","SID","","","","","","","","","","","","","","","","","","","","","","","5","8","","","","","","","","","","SID","YMD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SID","YMD","CNT","","","","","","","","","","","","","","","","","",0,1
,,,,,,,,0,"00501",3,"勤務予定休憩","KSCDT_SCHE_BREAK","300",0,"","","YMD","","SID","","","","","","","","","","","","","","","","","","","","","","","5","8","","","","","","","","","","SID","YMD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SID","YMD","BREAK_CNT","","","","","","","","","","","","","","","","","",0,1
,,,,,,,,0,"00501",4,"勤務予定育児介護時間帯","KSCDT_SCHE_CHILD_CARE","300",0,"","","YMD","","SID","","","","","","","","","","","","","","","","","","","","","","","5","8","","","","","","","","","","SID","YMD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SID","YMD","CHILD_CARE_NUMBER","","","","","","","","","","","","","","","","","",0,1
,,,,,,,,0,"00501",5,"勤務予定時間","KSCDT_SCHE_TIME","300",0,"","","YMD","","SID","","","","","","","","","","","","","","","","","","","","","","","5","8","","","","","","","","","","SID","YMD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SID","YMD","","","","","","","","","","","","","","","","","","",0,1
,,,,,,,,0,"00501",6,"勤務予定人件費時間","KSCDT_SCHE_FEE_TIME","300",0,"","","YMD","","SID","","","","","","","","","","","","","","","","","","","","","","","5","8","","","","","","","","","","SID","YMD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SID","YMD","NO","","","","","","","","","","","","","","","","","",0,1
,,,,,,,,0,"00501",7,"勤務予定マスタ情報","KSCDT_SCHE_MASTER","300",0,"","","YMD","","SID","","","","","","","","","","","","","","","","","","","","","","","5","8","","","","","","","","","","SID","YMD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SID","YMD",,,,,,,,,,,,,,,,,,,0,1
,,,,,,,,0,"00501",8,"勤務予定項目状態","KSCDT_SCHE_EDIT_STATE","300",0,"","","YMD","","SID","","","","","","","","","","","","","","","","","","","","","","","5","8","","","","","","","","","","SID","YMD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SID","YMD","SCHE_ITEM_ID","","","","","","","","","","","","","","","","","",0,1
,,,,,,,,0,"00502",1,"打刻","KRCDT_STAMP","300",0,"","","STAMP_DATE","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","","","","","","","STAMP_DATE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CARD_NUMBER","STAMP_ATR","STAMP_DATE","ATTENDANCE_CLOCK","","","","","","","","","","","","","","","","",0,1
,,,,,,,,0,"00503",1,"日別実績の勤務情報","KRCDT_DAY_INFO_PER_WORK","300",0,,,"YMD",,"SID",,,,,,,,,,,,,,,,,,,,,,,"5","8",,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,0,1
