INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,SCHELPER_SYSTEM,CATEGORY_ID,CATEGORY_NAME,POSSIBILITY_SYSTEM,STORED_PROCEDURE_SPECIFIED,TIME_STORE,OTHER_COMPANY_CLS,ATTENDANCE_SYSTEM,RECOVERY_STORAGE_RANGE,PAYMENT_AVAILABILITY,STORAGE_RANGE_SAVED
NULL,    ,            ,,NULL,    ,            ,,0,1,501,スケデータ,1,0,1,0,1,1,1,0
NULL,    ,            ,,NULL,    ,            ,,0,1,502,打刻データ,1,0,1,0,1,1,1,1
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,503,日次データ,1,0,1,0,1,1,1,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,504,週次データ,1,0,2,0,1,1,1,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,505,月次データ,1,0,2,0,1,1,1,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,507,３６データ,1,0,2,0,1,1,1,0
NULL,    ,            ,,NULL,    ,            ,,0,1,508,スケデータログ,1,0,1,0,1,1,1,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,99000,（人事テスト用）,1,0,1,0,0,1,0,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,99100,（就業テスト用）,0,0,1,0,1,1,0,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,99200,（給与テスト用）,0,0,1,0,0,1,1,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,99300,（OHテスト用）,0,0,1,0,0,1,0,0
