INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,NAME,DOMAIN_ID,PRIMARY_KEYS
,,,,,,,,0,"作業",200,"作業コード"
,,,,,,,,0,"所属職場履歴",103,"社員コード"
,,,,,,,,0,"所属職位履歴",104,"社員コード"
,,,,,,,,0,"入社退職履歴",101,"社員コード"
,,,,,,,,0,"個人基本情報",100,"社員コード"
,,,,,,,,0,"社員の特別休暇付与設定",116,"社員コード"
,,,,,,,,0,"特別休暇付与残数データ",117,"社員コード"
,,,,,,,,0,"休職休業履歴",107,"社員コード"
,,,,,,,,0,"振休管理データ",118,"ROW_NO"
,,,,,,,,0,"振出管理データ",119,"ROW_NO"
,,,,,,,,0,"短時間勤務",108,"社員コード"
,,,,,,,,0,"所属雇用履歴",102,"社員コード"
,,,,,,,,0,"社員の年休付与設定",111,"社員コード"
,,,,,,,,0,"年休付与残数データ",114,"社員コード"
,,,,,,,,0,"積立休暇付与残数データ",115,"社員コード"
,,,,,,,,0,"所属分類履歴",105,"社員コード"
,,,,,,,,0,"年休上限データ",112,"社員コード"
,,,,,,,,0,"代休管理データ",120,"代休データID"
,,,,,,,,0,"休出管理データ",121,"休出データID"
