INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,FUNCTION_NO,DESCRIPTION_OF_FUNCTION,DISPLAY_NAME_OF_FUNCTION,DISPLAY_ORDER,INITAL_VALUE
,,,,,,,,0,1,"日別実績の修正画面で修正した実績を登録することができる","日別実績の登録",1,1
,,,,,,,,0,2,"日別実績の修正画面で計算処理を行うことができる","日別実績の計算",3,1
,,,,,,,,0,5,"日別実績の修正画面で抽出条件を切り替えることができる","日別実績の抽出条件の選択",6,1
,,,,,,,,0,8,"日別実績の修正画面で表示する項目を切り替えることができる","日別実績の表示項目の選択",5,1
,,,,,,,,0,9,"日別実績の修正画面で月別実績の本人確認ができる","本人締め処理",8,1
,,,,,,,,0,11,"グリッドの列幅を保存することができる","列幅の保存",17,1
,,,,,,,,0,12,"ロックされた実績を修正することができる","ロックを解除",26,1
,,,,,,,,0,22,"実績の修正画面で修正履歴を参照することができる","修正履歴参照",18,1
,,,,,,,,0,23,"日別実績の修正画面で打刻情報を参照することができる","打刻参照",10,1
,,,,,,,,0,24,"日別実績の修正画面でエラーを参照することができる","エラー参照",9,1
,,,,,,,,0,25,"一括本人確認を行うことができる","一括本人確認",19,1
,,,,,,,,0,26,"日別実績の修正画面で就業確定を行うことができる","就業確定",11,1
,,,,,,,,0,32,"月別実績の修正画面で修正した実績を登録することができる","月別実績の登録",13,1
,,,,,,,,0,36,"月別実績の修正画面で表示する項目を切り替えることができる","月別実績の表示項目の選択",14,1
,,,,,,,,0,37,"日別実績の修正画面で初期選択する作業項目を設定することができる","作業初期選択設定",12,1
,,,,,,,,0,51,"社員ごとの出力項目設定を登録することができる","帳票自由設定",31,1
