ins_date,ins_ccd,ins_scd,ins_pg,upd_date,upd_ccd,upd_scd,upd_pg,exclus_ver,time_difference,name,code
,,,,,,,,0,0,"(UTC+09:00) 大阪、札幌、東京 ",1
,,,,,,,,0,-1260,"(UTC-12:00) 国際日付変更線 西側 ",2
,,,,,,,,0,-1200,"(UTC-11:00) 協定世界時-11 ",3
,,,,,,,,0,-1140,"(UTC-10:00) ハワイ ",4
,,,,,,,,0,-1080,"(UTC-09:00) アラスカ ",5
,,,,,,,,0,-1020,"(UTC-08:00) 太平洋標準時 (米国およびカナダ) ",6
,,,,,,,,0,-960,"(UTC-07:00) アリゾナ ",7
,,,,,,,,0,-960,"(UTC-07:00) チワワ、ラパス、マサトラン ",8
,,,,,,,,0,-960,"(UTC-07:00) 山地標準時 (米国およびカナダ) ",9
,,,,,,,,0,-900,"(UTC-06:00) グアダラハラ、メキシコシティ、モンテレー ",10
,,,,,,,,0,-900,"(UTC-06:00) サスカチュワン ",11
,,,,,,,,0,-900,"(UTC-06:00) 中央アメリカ ",12
,,,,,,,,0,-900,"(UTC-06:00) 中部標準時 (米国およびカナダ) ",13
,,,,,,,,0,-840,"(UTC-05:00) インディアナ東部 ",14
,,,,,,,,0,-840,"(UTC-05:00) ボゴタ、リマ、キト、リオ ブランコ ",15
,,,,,,,,0,-840,"(UTC-05:00) 東部標準時 (米国およびカナダ) ",16
,,,,,,,,0,-780,"(UTC-04:00) アスンシオン ",17
,,,,,,,,0,-780,"(UTC-04:00) カラカス ",18
,,,,,,,,0,-780,"(UTC-04:00) クイアバ ",19
,,,,,,,,0,-780,"(UTC-04:00) サンティアゴ ",20
,,,,,,,,0,-780,"(UTC-04:00) ジョージタウン、ラパス、マナウス、サンフアン ",21
,,,,,,,,0,-780,"(UTC-04:00) 大西洋標準時 (カナダ) ",22
,,,,,,,,0,-750,"(UTC-03:30) ニューファンドランド ",23
,,,,,,,,0,-720,"(UTC-03:00) カイエンヌ、フォルタレザ  ",24
,,,,,,,,0,-720,"(UTC-03:00) グリーンランド ",25
,,,,,,,,0,-720,"(UTC-03:00) ブエノスアイレス ",26
,,,,,,,,0,-720,"(UTC-03:00) ブラジリア ",27
,,,,,,,,0,-720,"(UTC-03:00) モンテビデオ ",28
,,,,,,,,0,-660,"(UTC-02:00) 協定世界時-02 ",29
,,,,,,,,0,-600,"(UTC-01:00) アゾレス諸島 ",30
,,,,,,,,0,-600,"(UTC-01:00) カーボベルデ諸島 ",31
,,,,,,,,0,-540,"(UTC) 協定世界時 ",32
,,,,,,,,0,-540,"(UTC+00:00) ダブリン、エジンバラ、リスボン、ロンドン ",33
,,,,,,,,0,-540,"(UTC+00:00) モンロビア、レイキャビク ",34
,,,,,,,,0,-480,"(UTC+01:00) カサブランカ ",35
,,,,,,,,0,-480,"(UTC+01:00) アムステルダム、ベルリン､ベルン、ローマ､ストックホルム､ウィーン ",36
,,,,,,,,0,-480,"(UTC+01:00) サラエボ、スコピエ、ワルシャワ、ザグレブ ",37
,,,,,,,,0,-480,"(UTC+01:00) ブリュッセル、コペンハーゲン、マドリード、パリ ",38
,,,,,,,,0,-480,"(UTC+01:00) ベオグラード、ブラチスラバ、ブダペスト、リュブリャナ、プラハ ",39
,,,,,,,,0,-480,"(UTC+01:00) 西中央アフリカ ",40
,,,,,,,,0,-420,"(UTC+02:00) アテネ、ブカレスト ",41
,,,,,,,,0,-420,"(UTC+02:00) アンマン ",42
,,,,,,,,0,-420,"(UTC+02:00) ウィントフック ",43
,,,,,,,,0,-420,"(UTC+02:00) エルサレム ",44
,,,,,,,,0,-420,"(UTC+02:00) カイロ ",45
,,,,,,,,0,-420,"(UTC+02:00) ダマスカス ",46
,,,,,,,,0,-420,"(UTC+02:00) ハラーレ、プレトリア ",47
,,,,,,,,0,-420,"(UTC+02:00) ベイルート ",48
,,,,,,,,0,-420,"(UTC+02:00) ヘルシンキ、キエフ、リガ、ソフィア、タリン、ビリニュス ",49
,,,,,,,,0,-360,"(UTC+03:00) クウェート、リヤド ",50
,,,,,,,,0,-360,"(UTC+03:00) ナイロビ ",51
,,,,,,,,0,-360,"(UTC+03:00) バグダッド ",52
,,,,,,,,0,-360,"(UTC+03:00) ミンスク ",53
,,,,,,,,0,-360,"(UTC+03:00) モスクワ、サンクトペテルブルク ",54
,,,,,,,,0,-330,"(UTC+03:30) テヘラン ",55
,,,,,,,,0,-300,"(UTC+04:00) アブダビ、マスカット ",56
,,,,,,,,0,-300,"(UTC+04:00) エレバン ",57
,,,,,,,,0,-300,"(UTC+04:00) トビリシ ",58
,,,,,,,,0,-300,"(UTC+04:00) バク ",59
,,,,,,,,0,-300,"(UTC+04:00) ポート ルイス ",60
,,,,,,,,0,-270,"(UTC+04:30) カブール ",61
,,,,,,,,0,-240,"(UTC+05:00) アシハバード、タシケント ",62
,,,,,,,,0,-240,"(UTC+05:00) イスラマバード、カラチ ",63
,,,,,,,,0,-240,"(UTC+05:00) エカテリンブルク ",64
,,,,,,,,0,-210,"(UTC+05:30) スリジャヤワルダナプラコッテ ",65
,,,,,,,,0,-210,"(UTC+05:30) チェンナイ、コルカタ、ムンバイ、ニューデリー ",66
,,,,,,,,0,-195,"(UTC+05:45) カトマンズ ",67
,,,,,,,,0,-180,"(UTC+06:00) アスタナ ",68
,,,,,,,,0,-180,"(UTC+06:00) ダッカ ",69
,,,,,,,,0,-150,"(UTC+06:30) ヤンゴン (ラングーン) ",70
,,,,,,,,0,-120,"(UTC+07:00) クラスノヤルスク ",71
,,,,,,,,0,-60,"(UTC+08:00) イルクーツク ",72
,,,,,,,,0,-60,"(UTC+08:00) ウランバートル ",73
,,,,,,,,0,-60,"(UTC+08:00) クアラルンプール、シンガポール ",74
,,,,,,,,0,-60,"(UTC+08:00) パース ",75
,,,,,,,,0,-60,"(UTC+08:00) 台北 ",76
,,,,,,,,0,-60,"(UTC+08:00) 北京、重慶、香港特別行政区、ウルムチ ",77
,,,,,,,,0,0,"(UTC+09:00) ソウル ",78
,,,,,,,,0,0,"(UTC+09:00) ヤクーツク ",79
,,,,,,,,0,30,"(UTC+09:30) アデレード ",80
,,,,,,,,0,30,"(UTC+09:30) ダーウィン ",81
,,,,,,,,0,60,"(UTC+10:00) ウラジオストク ",82
,,,,,,,,0,60,"(UTC+10:00) キャンベラ、メルボルン、シドニー ",83
,,,,,,,,0,60,"(UTC+10:00) グアム、ポートモレスビー ",84
,,,,,,,,0,60,"(UTC+10:00) ブリズベン ",85
,,,,,,,,0,60,"(UTC+10:00) ホバート ",86
,,,,,,,,0,120,"(UTC+11:00) ソロモン諸島、ニューカレドニア ",87
,,,,,,,,0,120,"(UTC+11:00) マガダン ",88
,,,,,,,,0,180,"(UTC+12:00) オークランド、ウェリントン ",89
,,,,,,,,0,180,"(UTC+12:00) フィジー ",90
,,,,,,,,0,180,"(UTC+12:00) 協定世界時+12 ",91
,,,,,,,,0,240,"(UTC+13:00) サモア ",92
,,,,,,,,0,240,"(UTC+13:00) ヌクアロファ ",93
