INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,FUNCTION_NO,FUNCTION_NAME,EXPLANATION,DISPLAY_ORDER,DEFAULT_VALUE(BOOL)
,,,,,,,,0,1,"社員の削除ができる","社員を削除することができます。",1,0
,,,,,,,,0,2,"顔写真のアップロードができる","社員の顔写真をアップロードすることができます。",2,0
,,,,,,,,0,3,"顔写真を参照できる","社員の顔写真を参照することができます。",3,1
,,,,,,,,0,4,"地図のアップロードができる","地図ファイルをアップロードすることができます。",4,0
,,,,,,,,0,5,"地図を参照できる","地図ファイルを参照することができます。",5,1
,,,,,,,,0,6,"電子ファイルのアップロードができる","社員の電子ファイルをアップロードすることができます。",6,0
,,,,,,,,0,7,"電子ファイルを参照できる","社員の電子ファイルを参照することができます。",7,1
,,,,,,,,0,9,"コピー項目の設定ができる","新規社員を社員コピーで作成する時に使用する、コピー対象項目を設定できます。",9,0
,,,,,,,,0,10,"初期値の設定ができる","新規社員を初期値セットで作成する時に使用する初期値を設定できます。",10,0
,,,,,,,,0,11,"選択する部門・職場を絞り込む","所属部門・所属職場の選択肢を、自身の所属配下に絞り込みます。",11,0
