INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,ITEM_NO,ITEM_NAME,RECORD_TYPE
,,,,,,,,0,1,"ログインユーザID",0
,,,,,,,,0,1,"操作者ユーザID",1
,,,,,,,,0,1,"修正者 ユーザID",3
,,,,,,,,0,1,"修正者 ユーザID",6
,,,,,,,,0,1,"操作者ユーザID",7
,,,,,,,,0,1,"IPアドレス",9
,,,,,,,,0,1,"IPアドレス",10
,,,,,,,,0,1,"IPアドレス",11
,,,,,,,,0,2,"ログインユーザ名",0
,,,,,,,,0,2,"操作者ユーザ名",1
,,,,,,,,0,2,"修正者 ユーザ名",3
,,,,,,,,0,2,"修正者 ユーザ名",6
,,,,,,,,0,2,"PC名",9
,,,,,,,,0,2,"PC名",10
,,,,,,,,0,2,"PC名",11
,,,,,,,,0,3,"ログイン社員コード",0
,,,,,,,,0,3,"操作者社員コード",1
,,,,,,,,0,3,"修正者 社員コード",3
,,,,,,,,0,3,"修正者 社員コード",6
,,,,,,,,0,3,"アカウント",9
,,,,,,,,0,3,"アカウント",10
,,,,,,,,0,3,"アカウント",11
,,,,,,,,0,4,"IPアドレス",0
,,,,,,,,0,4,"IPアドレス",1
,,,,,,,,0,4,"IPアドレス",3
,,,,,,,,0,4,"IPアドレス",6
,,,,,,,,0,4,"操作社員コード",9
,,,,,,,,0,4,"操作社員コード",10
,,,,,,,,0,4,"操作社員コード",11
,,,,,,,,0,5,"PC名",0
,,,,,,,,0,5,"PC名",1
,,,,,,,,0,5,"PC名",3
,,,,,,,,0,5,"PC名",6
,,,,,,,,0,5,"操作社員名称",9
,,,,,,,,0,5,"操作社員名称",10
,,,,,,,,0,5,"操作社員名称",11
,,,,,,,,0,6,"アカウント",0
,,,,,,,,0,6,"アカウント",1
,,,,,,,,0,6,"アカウント",3
,,,,,,,,0,6,"アカウント",6
,,,,,,,,0,6,"保存開始日時",9
,,,,,,,,0,6,"復旧開始日時",10
,,,,,,,,0,6,"削除開始日時",11
,,,,,,,,0,7,"ログイン日時",0
,,,,,,,,0,7,"起動日時",1
,,,,,,,,0,7,"修正日時",3
,,,,,,,,0,7,"修正日時",6
,,,,,,,,0,7,"保存形態",9
,,,,,,,,0,7,"保存形態",10
,,,,,,,,0,7,"削除形態",11
,,,,,,,,0,8,"就業権限名称",0
,,,,,,,,0,8,"就業権限名称",1
,,,,,,,,0,8,"就業権限名称",3
,,,,,,,,0,8,"就業権限名称",6
,,,,,,,,0,8,"保存名称",9
,,,,,,,,0,8,"保存名称",10
,,,,,,,,0,8,"結果状態",11
,,,,,,,,0,9,"給与権限名称",0
,,,,,,,,0,9,"給与権限名称",1
,,,,,,,,0,9,"給与権限名称",3
,,,,,,,,0,9,"給与権限名称",6
,,,,,,,,0,9,"ファイルID",9
,,,,,,,,0,9,"復旧終了日時",10
,,,,,,,,0,9,"対象人数",11
,,,,,,,,0,10,"人事権限名称",0
,,,,,,,,0,10,"人事権限名称",1
,,,,,,,,0,10,"人事権限名称",3
,,,,,,,,0,10,"人事権限名称",6
,,,,,,,,0,10,"ファイル容量",9
,,,,,,,,0,10,"保存セットコード",10
,,,,,,,,0,10,"削除済みファイル",11
,,,,,,,,0,11,"オフィスヘルパー権限名称",0
,,,,,,,,0,11,"オフィスヘルパー権限名称",1
,,,,,,,,0,11,"オフィスヘルパー権限名称",3
,,,,,,,,0,11,"オフィスヘルパー権限名称",6
,,,,,,,,0,11,"結果状態",9
,,,,,,,,0,11,"処理内容",10
,,,,,,,,0,11,"ファイル容量",11
,,,,,,,,0,12,"会計権限名称",0
,,,,,,,,0,12,"会計権限名称",1
,,,,,,,,0,12,"会計権限名称",3
,,,,,,,,0,12,"会計権限名称",6
,,,,,,,,0,12,"対象人数",9
,,,,,,,,0,12,"エラー内容",10
,,,,,,,,0,12,"保存ファイル名",11
,,,,,,,,0,13,"マイナンバー権限名称",0
,,,,,,,,0,13,"マイナンバー権限名称",1
,,,,,,,,0,13,"マイナンバー権限名称",3
,,,,,,,,0,13,"マイナンバー権限名称",6
,,,,,,,,0,13,"保存セットコード",9
,,,,,,,,0,13,"エラー実行SQL",10
,,,,,,,,0,13,"削除終了日時",11
,,,,,,,,0,14,"グループ会社管理権限名称",0
,,,,,,,,0,14,"グループ会社管理権限名称",1
,,,,,,,,0,14,"グループ会社管理権限名称",3
,,,,,,,,0,14,"グループ会社管理権限名称",6
,,,,,,,,0,14,"保存ファイル名",9
,,,,,,,,0,14,"エラー日付",10
,,,,,,,,0,14,"削除セットコード",11
,,,,,,,,0,15,"会社管理者権限名称",0
,,,,,,,,0,15,"会社管理者権限名称",1
,,,,,,,,0,15,"会社管理者権限名称",3
,,,,,,,,0,15,"会社管理者権限名称",6
,,,,,,,,0,15,"保存終了日時",9
,,,,,,,,0,15,"エラー社員",10
,,,,,,,,0,15,"処理内容",11
,,,,,,,,0,16,"システム管理者権限名称",0
,,,,,,,,0,16,"システム管理者権限名称",1
,,,,,,,,0,16,"システム管理者権限名称",3
,,,,,,,,0,16,"システム管理者権限名称",6
,,,,,,,,0,16,"処理内容",9
,,,,,,,,0,16,"エラー内容",11
,,,,,,,,0,17,"個人情報権限名称",0
,,,,,,,,0,17,"個人情報権限名称",1
,,,,,,,,0,17,"個人情報権限名称",3
,,,,,,,,0,17,"個人情報権限名称",6
,,,,,,,,0,17,"エラー内容",9
,,,,,,,,0,17,"エラー日付",11
,,,,,,,,0,18,"メニュー名称",0
,,,,,,,,0,18,"備考",1
,,,,,,,,0,18,"メニュー名称",3
,,,,,,,,0,18,"メニュー名称",6
,,,,,,,,0,18,"エラー日付",9
,,,,,,,,0,18,"エラー社員",11
,,,,,,,,0,19,"ログイン状態",0
,,,,,,,,0,19,"メニュー名称",1
,,,,,,,,0,19,"対象者 ユーザID",3
,,,,,,,,0,19,"対象者 ユーザID",6
,,,,,,,,0,19,"エラー社員",9
,,,,,,,,0,20,"ログイン方法",0
,,,,,,,,0,20,"起動元メニュー名称",1
,,,,,,,,0,20,"対象者 ユーザ名",3
,,,,,,,,0,20,"対象者 ユーザ名",6
,,,,,,,,0,21,"アクセス元URL",0
,,,,,,,,0,21,"対象者 社員コード",3
,,,,,,,,0,21,"対象者 社員コード",6
,,,,,,,,0,22,"備考",0
,,,,,,,,0,22,"処理区分",3
,,,,,,,,0,22,"対象年月日",6
,,,,,,,,0,23,"カテゴリ名",3
,,,,,,,,0,23,"対象年月",6
,,,,,,,,0,24,"修正方法",3
,,,,,,,,0,24,"対象年",6
,,,,,,,,0,25,"年月日",3
,,,,,,,,0,25,"対象",6
,,,,,,,,0,26,"年月",3
,,,,,,,,0,26,"修正区分",6
,,,,,,,,0,27,"年",3
,,,,,,,,0,27,"対象項目",6
,,,,,,,,0,28,"対象",3
,,,,,,,,0,28,"修正前の値",6
,,,,,,,,0,29,"項目名",3
,,,,,,,,0,29,"修正後の値",6
,,,,,,,,0,30,"修正前の値",3
,,,,,,,,0,30,"修正前の内容",6
,,,,,,,,0,31,"修正前の内容",3
,,,,,,,,0,31,"修正後の内容",6
,,,,,,,,0,32,"修正後の値",3
,,,,,,,,0,32,"備考",6
,,,,,,,,0,33,"修正後の内容",3
,,,,,,,,0,34,"補正項目",3
,,,,,,,,0,35,"補正後年月日",3
,,,,,,,,0,36,"備考",3
