DOMAIN_ID,ITEM_NO,ITEM_NAME,ITEM_TYPE,REQUIRED,IS_PRIMARYKEY,CHECK_METHOD,FQN
13,1,"開始日",3,false,true,,""
13,2,"終了日",3,true,false,,""
13,3,"職場コード",0,false,true,1,"nts.uk.ctx.bs.employee.dom.workplace.master.WorkplaceCode"
13,4,"職場外部コード",0,false,false,1,"nts.uk.ctx.bs.employee.dom.workplace.master.WorkplaceExternalCode"
13,5,"職場名称",0,true,false,1,"nts.uk.ctx.bs.employee.dom.workplace.master.WorkplaceName"
13,6,"職場表示名",0,true,false,1,"nts.uk.ctx.bs.employee.dom.workplace.master.WorkplaceDisplayName"
13,7,"職場総称",0,true,false,1,"nts.uk.ctx.bs.employee.dom.workplace.master.WorkplaceGeneric"
13,8,"職場階層コード",0,false,false,1,"nts.uk.ctx.bs.employee.dom.workplace.master.WorkplaceHierarchyCode"
13,9,"職場階層コード1",0,false,false,1,"nts.uk.ctx.bs.employee.dom.workplace.master.WorkplaceHierarchyUnitCode"
13,10,"職場階層コード2",0,false,false,1,"nts.uk.ctx.bs.employee.dom.workplace.master.WorkplaceHierarchyUnitCode"
13,11,"職場階層コード3",0,false,false,1,"nts.uk.ctx.bs.employee.dom.workplace.master.WorkplaceHierarchyUnitCode"
13,12,"職場階層コード4",0,false,false,1,"nts.uk.ctx.bs.employee.dom.workplace.master.WorkplaceHierarchyUnitCode"
13,13,"職場階層コード5",0,false,false,1,"nts.uk.ctx.bs.employee.dom.workplace.master.WorkplaceHierarchyUnitCode"
13,14,"職場階層コード6",0,false,false,1,"nts.uk.ctx.bs.employee.dom.workplace.master.WorkplaceHierarchyUnitCode"
13,15,"職場階層コード7",0,false,false,1,"nts.uk.ctx.bs.employee.dom.workplace.master.WorkplaceHierarchyUnitCode"
13,16,"職場階層コード8",0,false,false,1,"nts.uk.ctx.bs.employee.dom.workplace.master.WorkplaceHierarchyUnitCode"
13,17,"職場階層コード9",0,false,false,1,"nts.uk.ctx.bs.employee.dom.workplace.master.WorkplaceHierarchyUnitCode"
13,18,"職場階層コード10",0,false,false,1,"nts.uk.ctx.bs.employee.dom.workplace.master.WorkplaceHierarchyUnitCode"
13,19,"削除フラグ",1,false,false,2,"nts.uk.shr.com.enumcommon.NotUseAtr"
30,1,"作業枠NO",1,false,true,1,"nts.uk.ctx.at.shared.dom.scherec.taskmanagement.taskframe.TaskFrameNo"
30,2,"作業コード",0,false,true,1,"nts.uk.ctx.at.shared.dom.scherec.taskmanagement.taskmaster.TaskCode"
30,3,"作業名称",0,true,false,1,"nts.uk.ctx.at.shared.dom.scherec.taskmanagement.taskmaster.TaskName"
30,4,"作業略名",0,true,false,1,"nts.uk.ctx.at.shared.dom.scherec.taskmanagement.taskmaster.TaskAbName"
30,5,"開始日",3,true,false,,""
30,6,"終了日",3,true,false,,""
30,7,"外部コード1",0,false,false,1,"nts.uk.ctx.at.shared.dom.scherec.taskmanagement.taskmaster.TaskExternalCode"
30,8,"外部コード2",0,false,false,1,"nts.uk.ctx.at.shared.dom.scherec.taskmanagement.taskmaster.TaskExternalCode"
30,9,"外部コード3",0,false,false,1,"nts.uk.ctx.at.shared.dom.scherec.taskmanagement.taskmaster.TaskExternalCode"
30,10,"外部コード4",0,false,false,1,"nts.uk.ctx.at.shared.dom.scherec.taskmanagement.taskmaster.TaskExternalCode"
30,11,"外部コード5",0,false,false,1,"nts.uk.ctx.at.shared.dom.scherec.taskmanagement.taskmaster.TaskExternalCode"
30,12,"カラーコード",0,false,false,1,"nts.uk.shr.com.color.ColorCode"
30,13,"備考",0,false,false,1,"nts.uk.ctx.at.shared.dom.scherec.taskmanagement.taskmaster.TaskNote"
31,1,"作業枠NO",1,true,true,1,"nts.uk.ctx.at.shared.dom.scherec.taskmanagement.taskframe.TaskFrameNo"
31,2,"作業コード",0,true,true,1,"nts.uk.ctx.at.shared.dom.scherec.taskmanagement.taskmaster.TaskCode"
31,3,"子作業コード",0,true,true,1,"nts.uk.ctx.at.shared.dom.scherec.taskmanagement.taskmaster.TaskCode"
32,1,"設備コード",0,true,true,1,"nts.uk.ctx.office.dom.equipment.information.EquipmentCode"
32,2,"設備名称",0,true,false,1,"nts.uk.ctx.office.dom.equipment.information.EquipmentName"
32,3,"開始日",3,true,false,,""
32,4,"終了日",3,true,false,,""
32,5,"設備分類コード",0,true,false,1,"nts.uk.ctx.office.dom.equipment.classificationmaster.EquipmentClassificationCode"
32,6,"備考",0,false,false,1,"nts.uk.ctx.office.dom.equipment.information.EquipmentRemark"
33,1,"設備分類コード",0,true,true,1,"nts.uk.ctx.office.dom.equipment.classificationmaster.EquipmentClassificationCode"
33,2,"設備分類名称",0,true,false,1,"nts.uk.ctx.office.dom.equipment.classificationmaster.EquipmentClassificationName"
42,1,"職場コード",0,true,true,1,"nts.uk.ctx.bs.employee.dom.workplace.master.WorkplaceCode"
42,2,"就業時間帯コード",0,true,true,1,"nts.uk.ctx.at.shared.dom.worktime.common.WorkTimeCode"
100,1,"社員コード",0,false,true,1,"nts.uk.ctx.bs.employee.dom.employeeinfo.EmployeeCode"
