INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,NAME,DOMAIN_ID,ITEM_NO,DATA_TYPE,LENGTH,SCALE
,,,,,,,,0,"CONTRACT_CD",13,9999,0,12,0
,,,,,,,,0,"CID",13,9998,0,17,0
,,,,,,,,0,"開始日",13,1,3,0,0
,,,,,,,,0,"終了日",13,2,3,0,0
,,,,,,,,0,"職場コード",13,3,0,10,0
,,,,,,,,0,"職場外部コード",13,4,0,20,0
,,,,,,,,0,"職場名称",13,5,0,20,0
,,,,,,,,0,"職場表示名",13,6,0,40,0
,,,,,,,,0,"職場総称",13,7,0,120,0
,,,,,,,,0,"職場階層コード",13,8,0,30,0
,,,,,,,,0,"職場階層コード1",13,9,0,3,0
,,,,,,,,0,"職場階層コード2",13,10,0,3,0
,,,,,,,,0,"職場階層コード3",13,11,0,3,0
,,,,,,,,0,"職場階層コード4",13,12,0,3,0
,,,,,,,,0,"職場階層コード5",13,13,0,3,0
,,,,,,,,0,"職場階層コード6",13,14,0,3,0
,,,,,,,,0,"職場階層コード7",13,15,0,3,0
,,,,,,,,0,"職場階層コード8",13,16,0,3,0
,,,,,,,,0,"職場階層コード9",13,17,0,3,0
,,,,,,,,0,"職場階層コード10",13,18,0,3,0
,,,,,,,,0,"削除フラグ",13,19,6,0,0
,,,,,,,,0,"HIST_ID",13,100,0,36,0
,,,,,,,,0,"職場ID",13,101,0,36,0
,,,,,,,,0,"CONTRACT_CD",30,9999,0,12,0
,,,,,,,,0,"CID",30,9998,0,17,0
,,,,,,,,0,"作業枠NO",30,1,1,1,0
,,,,,,,,0,"作業コード",30,2,0,20,0
,,,,,,,,0,"作業名称",30,3,0,50,0
,,,,,,,,0,"作業略名",30,4,0,16,0
,,,,,,,,0,"開始日",30,5,3,0,0
,,,,,,,,0,"終了日",30,6,3,0,0
,,,,,,,,0,"外部コード1",30,7,0,20,0
,,,,,,,,0,"外部コード2",30,8,0,20,0
