INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CATEGORY_CD,CONTRACT_CD,SCHEDULE_MNG_REQUIRED,YEARLY_MNG_REQUIRED,DAILY_ACTUAL_MNG_REQUIRED,MONTH_ACTUAL_MNG_REQUIRED,MONTH_CALC_MNG_REQUIRED,PAYROLL_MNG_REQUIRED,BONUS_MNG_REQUIRED,JOB_SYS_REQUIRED,PAYROLL_SYS_REQUIRED,HUMAN_SYS_REQUIRED
,,,,,,,,0,"CS00001","000000000000",1,1,1,1,1,1,1,1,1,1
,,,,,,,,0,"CS00002","000000000000",1,1,1,1,1,1,1,1,1,1
,,,,,,,,0,"CS00003","000000000000",1,1,1,1,1,1,1,1,1,1
,,,,,,,,0,"CS00004","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00014","000000000000",1,1,1,1,0,0,0,1,1,1
,,,,,,,,0,"CS00015","000000000000",0,1,0,0,0,0,0,0,1,1
,,,,,,,,0,"CS00016","000000000000",1,1,1,1,0,0,0,1,1,1
,,,,,,,,0,"CS00017","000000000000",1,1,1,1,0,0,0,1,0,0
,,,,,,,,0,"CS00018","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00019","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00020","000000000000",1,1,1,1,0,0,0,1,0,0
,,,,,,,,0,"CS00070","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00021","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00022","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00023","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00024","000000000000",1,1,1,1,0,0,0,1,0,0
,,,,,,,,0,"CS00025","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00026","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00027","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00028","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00029","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00030","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00031","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00032","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00033","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00034","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00035","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00036","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00037","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00038","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00039","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00040","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00041","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00042","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00043","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00044","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00045","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00046","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00047","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00048","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00049","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00050","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00051","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00052","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00053","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00054","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00055","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00056","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00057","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00058","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00059","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00060","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00061","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00062","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00063","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00064","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00065","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00066","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00067","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00068","000000000000",0,1,0,0,0,0,0,0,0,0
,,,,,,,,0,"CS00069","000000000000",0,1,0,0,0,0,0,0,0,0
