ins_date,ins_ccd,ins_scd,ins_pg,upd_date,upd_ccd,upd_scd,upd_pg,exclus_ver,contract_cd,cid,setting_code,domain_id,importing_mode
,,,,,,,,0,"000000000000","000000000000-0000","SL2",103,3
,,,,,,,,0,"000000000000","000000000000-0000","SL2",102,3
,,,,,,,,0,"000000000000","000000000000-0000","SL2",101,3
,,,,,,,,0,"000000000000","000000000000-0000","SL2",100,3
,,,,,,,,0,"000000000000","000000000000-0000","SL4",992,3
,,,,,,,,0,"000000000000","000000000000-0000","SL3",105,3
,,,,,,,,0,"000000000000","000000000000-0000","SL3",104,3
,,,,,,,,0,"000000000000","000000000000-0000","SL3",103,3
,,,,,,,,0,"000000000000","000000000000-0000","SL3",102,3
,,,,,,,,0,"000000000000","000000000000-0000","SL2",105,3
,,,,,,,,0,"000000000000","000000000000-0000","SL2",104,3
