ins_date,ins_ccd,ins_scd,ins_pg,upd_date,upd_ccd,upd_scd,upd_pg,exclus_ver,contract_cd,cid,setting_code,item_no,csv_column_no,fixed_value,domain_id,is_fixed_value
,,,,,,,,0,"000000000000","000000000000-0000","SL4",200,2,,992,false
,,,,,,,,0,"000000000000","000000000000-0000","SL4",1,1,,992,false
,,,,,,,,0,"000000000000","000000000000-0000","SL4",202,6,,992,false
,,,,,,,,0,"000000000000","000000000000-0000","SL4",203,7,,992,false
,,,,,,,,0,"000000000000","000000000000-0000","SL4",201,3,,992,false
,,,,,,,,0,"000000000000","000000000000-0000","SL3",4,6,,103,false
,,,,,,,,0,"000000000000","000000000000-0000","SL3",2,2,,103,false
,,,,,,,,0,"000000000000","000000000000-0000","SL3",2,2,,102,false
,,,,,,,,0,"000000000000","000000000000-0000","SL3",1,1,,103,false
,,,,,,,,0,"000000000000","000000000000-0000","SL3",3,3,,105,false
,,,,,,,,0,"000000000000","000000000000-0000","SL3",1,1,,105,false
,,,,,,,,0,"000000000000","000000000000-0000","SL3",2,2,,104,false
,,,,,,,,0,"000000000000","000000000000-0000","SL3",3,3,,104,false
,,,,,,,,0,"000000000000","000000000000-0000","SL3",4,8,,104,false
,,,,,,,,0,"000000000000","000000000000-0000","SL3",3,3,,102,false
,,,,,,,,0,"000000000000","000000000000-0000","SL3",3,3,,103,false
,,,,,,,,0,"000000000000","000000000000-0000","SL3",1,1,,104,false
,,,,,,,,0,"000000000000","000000000000-0000","SL3",1,1,,102,false
,,,,,,,,0,"000000000000","000000000000-0000","SL3",2,2,,105,false
,,,,,,,,0,"000000000000","000000000000-0000","SL3",4,9,,105,false
,,,,,,,,0,"000000000000","000000000000-0000","SL3",4,7,,102,false
,,,,,,,,0,"000000000000","000000000000-0000","SL2",1,1,,100,false
,,,,,,,,0,"000000000000","000000000000-0000","SL2",6,8,,100,false
,,,,,,,,0,"000000000000","000000000000-0000","SL2",1,1,,101,false
,,,,,,,,0,"000000000000","000000000000-0000","SL2",8,2,,100,false
,,,,,,,,0,"000000000000","000000000000-0000","SL2",5,16,,100,false
,,,,,,,,0,"000000000000","000000000000-0000","SL2",7,7,,100,false
,,,,,,,,0,"000000000000","000000000000-0000","SL2",3,4,,100,false
,,,,,,,,0,"000000000000","000000000000-0000","SL2",2,3,,100,false
,,,,,,,,0,"000000000000","000000000000-0000","SL2",12,5,,100,false
,,,,,,,,0,"000000000000","000000000000-0000","SL2",3,21,,101,false
,,,,,,,,0,"000000000000","000000000000-0000","SL2",20,9,,100,false
,,,,,,,,0,"000000000000","000000000000-0000","SL2",9,4,,100,false
,,,,,,,,0,"000000000000","000000000000-0000","SL2",2,16,,101,false
