ins_date,ins_ccd,ins_scd,ins_pg,upd_date,upd_ccd,upd_scd,upd_pg,exclus_ver,contract_cd,cid,setting_code,item_no,is_decimalization,decimal_degit_number,use_padding,padding_length,padding_method,date_format,hourly_segment,time_base_number,time_base60_delimiter,time_rounding,code_convert_code,item_type,domain_id
,,,,,,,,0,"000000000000","000000000000-0000","SL4",200,,,,,,1,,,,,,3,992
,,,,,,,,0,"000000000000","000000000000-0000","SL3",2,,,,,,1,,,,,,3,105
,,,,,,,,0,"000000000000","000000000000-0000","SL3",2,,,,,,1,,,,,,3,104
,,,,,,,,0,"000000000000","000000000000-0000","SL3",2,,,,,,1,,,,,,3,103
,,,,,,,,0,"000000000000","000000000000-0000","SL3",2,,,,,,1,,,,,,3,102
,,,,,,,,0,"000000000000","000000000000-0000","SL3",3,,,,,,1,,,,,,3,102
,,,,,,,,0,"000000000000","000000000000-0000","SL3",3,,,,,,1,,,,,,3,103
,,,,,,,,0,"000000000000","000000000000-0000","SL2",2,,,,,,1,,,,,,3,105
,,,,,,,,0,"000000000000","000000000000-0000","SL2",2,,,,,,1,,,,,,3,104
,,,,,,,,0,"000000000000","000000000000-0000","SL2",2,,,,,,1,,,,,,3,103
,,,,,,,,0,"000000000000","000000000000-0000","SL2",2,,,,,,1,,,,,,3,102
,,,,,,,,0,"000000000000","000000000000-0000","SL2",2,,,,,,1,,,,,,3,101
,,,,,,,,0,"000000000000","000000000000-0000","SL2",3,,,,,,1,,,,,,3,101
,,,,,,,,0,"000000000000","000000000000-0000","SL2",6,,,,,,1,,,,,,3,100
,,,,,,,,0,"000000000000","000000000000-0000","SL3",3,,,,,,1,,,,,,3,104
,,,,,,,,0,"000000000000","000000000000-0000","SL3",3,,,,,,1,,,,,,3,105
