INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,TEMP_ABSENCE_FR_NO,USE_ATR,TEMP_ABSENCE_FR_NAME
,,,,,,,,"0","000000000000","000000000000-0000","1","1","休職"
,,,,,,,,"0","000000000000","000000000000-0000","2","1","産前休業"
,,,,,,,,"0","000000000000","000000000000-0000","3","1","産後休業"
,,,,,,,,"0","000000000000","000000000000-0000","4","1","育児休業"
,,,,,,,,"0","000000000000","000000000000-0000","5","1","介護休業"
,,,,,,,,"0","000000000000","000000000000-0000","6","1","傷病休業"
,,,,,,,,"0","000000000000","000000000000-0000","7","1","任意休業１"
,,,,,,,,"0","000000000000","000000000000-0000","8","1","任意休業２"
,,,,,,,,"0","000000000000","000000000000-0000","9","1","任意休業３"
,,,,,,,,"0","000000000000","000000000000-0000","10","1","任意休業４"
