INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,YEAR_MONTH_ATR,FRAME_NO,AMOUNT_OF_MONEY
,,,,,,,,0,"000000000000","000000000000-0000",0,1,1000000
,,,,,,,,0,"000000000000","000000000000-0000",0,2,1060000
,,,,,,,,0,"000000000000","000000000000-0000",0,3,1300000
,,,,,,,,0,"000000000000","000000000000-0000",0,4,1500000
,,,,,,,,0,"000000000000","000000000000-0000",0,5,2000000
,,,,,,,,0,"000000000000","000000000000-0000",1,1,83000
,,,,,,,,0,"000000000000","000000000000-0000",1,2,88000
,,,,,,,,0,"000000000000","000000000000-0000",1,3,108000
,,,,,,,,0,"000000000000","000000000000-0000",1,4,125000
,,,,,,,,0,"000000000000","000000000000-0000",1,5,166666
