INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,ATTENDANCEITEM_ID,SCREEN_USE_ATR,ATTENDANCEITEM_TYPE
,,,,,,,,0,"00000000","000000000000-0000",1,13,1
,,,,,,,,0,"00000000","000000000000-0000",1,19,1
,,,,,,,,0,"00000000","000000000000-0000",2,14,1
,,,,,,,,0,"00000000","000000000000-0000",2,19,1
,,,,,,,,0,"00000000","000000000000-0000",3,15,1
,,,,,,,,0,"00000000","000000000000-0000",3,19,1
,,,,,,,,0,"00000000","000000000000-0000",3,20,2
,,,,,,,,0,"00000000","000000000000-0000",4,15,1
,,,,,,,,0,"00000000","000000000000-0000",4,16,2
,,,,,,,,0,"00000000","000000000000-0000",4,19,1
,,,,,,,,0,"00000000","000000000000-0000",4,20,2
,,,,,,,,0,"00000000","000000000000-0000",5,2,2
,,,,,,,,0,"00000000","000000000000-0000",5,15,1
,,,,,,,,0,"00000000","000000000000-0000",5,16,2
,,,,,,,,0,"00000000","000000000000-0000",5,19,1
,,,,,,,,0,"00000000","000000000000-0000",5,20,2
,,,,,,,,0,"00000000","000000000000-0000",6,2,2
,,,,,,,,0,"00000000","000000000000-0000",6,15,1
,,,,,,,,0,"00000000","000000000000-0000",6,16,2
,,,,,,,,0,"00000000","000000000000-0000",6,19,1
,,,,,,,,0,"00000000","000000000000-0000",6,20,2
,,,,,,,,0,"00000000","000000000000-0000",7,15,1
,,,,,,,,0,"00000000","000000000000-0000",7,19,1
,,,,,,,,0,"00000000","000000000000-0000",8,15,1
,,,,,,,,0,"00000000","000000000000-0000",8,19,1
,,,,,,,,0,"00000000","000000000000-0000",9,15,1
,,,,,,,,0,"00000000","000000000000-0000",9,19,1
,,,,,,,,0,"00000000","000000000000-0000",10,15,1
,,,,,,,,0,"00000000","000000000000-0000",10,19,1
,,,,,,,,0,"00000000","000000000000-0000",11,15,1
,,,,,,,,0,"00000000","000000000000-0000",11,19,1
,,,,,,,,0,"00000000","000000000000-0000",12,15,1
,,,,,,,,0,"00000000","000000000000-0000",12,16,2
,,,,,,,,0,"00000000","000000000000-0000",12,19,1
,,,,,,,,0,"00000000","000000000000-0000",12,20,2
,,,,,,,,0,"00000000","000000000000-0000",13,15,1
,,,,,,,,0,"00000000","000000000000-0000",13,16,2
,,,,,,,,0,"00000000","000000000000-0000",13,19,1
,,,,,,,,0,"00000000","000000000000-0000",13,20,2
,,,,,,,,0,"00000000","000000000000-0000",14,15,1
,,,,,,,,0,"00000000","000000000000-0000",14,16,2
,,,,,,,,0,"00000000","000000000000-0000",14,19,1
,,,,,,,,0,"00000000","000000000000-0000",14,20,2
