ins_date,ins_ccd,ins_scd,ins_pg,upd_date,upd_ccd,upd_scd,upd_pg,exclus_ver,contract_cd,cid,attendance_item_id,order_sorted
,,,,,,,,0,"000000000000","000000000000-0000",1,1
,,,,,,,,0,"000000000000","000000000000-0000",2,2
,,,,,,,,0,"000000000000","000000000000-0000",3,3
,,,,,,,,0,"000000000000","000000000000-0000",4,4
,,,,,,,,0,"000000000000","000000000000-0000",5,5
,,,,,,,,0,"000000000000","000000000000-0000",6,6
,,,,,,,,0,"000000000000","000000000000-0000",27,7
,,,,,,,,0,"000000000000","000000000000-0000",28,8
,,,,,,,,0,"000000000000","000000000000-0000",29,9
,,,,,,,,0,"000000000000","000000000000-0000",31,13
,,,,,,,,0,"000000000000","000000000000-0000",34,15
,,,,,,,,0,"000000000000","000000000000-0000",37,21
,,,,,,,,0,"000000000000","000000000000-0000",39,23
,,,,,,,,0,"000000000000","000000000000-0000",41,17
,,,,,,,,0,"000000000000","000000000000-0000",44,19
,,,,,,,,0,"000000000000","000000000000-0000",47,25
,,,,,,,,0,"000000000000","000000000000-0000",49,27
,,,,,,,,0,"000000000000","000000000000-0000",51,29
,,,,,,,,0,"000000000000","000000000000-0000",53,31
,,,,,,,,0,"000000000000","000000000000-0000",55,41
,,,,,,,,0,"000000000000","000000000000-0000",57,43
,,,,,,,,0,"000000000000","000000000000-0000",59,33
,,,,,,,,0,"000000000000","000000000000-0000",61,35
,,,,,,,,0,"000000000000","000000000000-0000",63,45
,,,,,,,,0,"000000000000","000000000000-0000",65,47
,,,,,,,,0,"000000000000","000000000000-0000",67,37
,,,,,,,,0,"000000000000","000000000000-0000",69,39
,,,,,,,,0,"000000000000","000000000000-0000",71,49
,,,,,,,,0,"000000000000","000000000000-0000",73,51
,,,,,,,,0,"000000000000","000000000000-0000",75,109
,,,,,,,,0,"000000000000","000000000000-0000",77,111
,,,,,,,,0,"000000000000","000000000000-0000",79,113
,,,,,,,,0,"000000000000","000000000000-0000",81,115
,,,,,,,,0,"000000000000","000000000000-0000",86,116
,,,,,,,,0,"000000000000","000000000000-0000",88,118
,,,,,,,,0,"000000000000","000000000000-0000",91,120
,,,,,,,,0,"000000000000","000000000000-0000",93,121
,,,,,,,,0,"000000000000","000000000000-0000",95,123
,,,,,,,,0,"000000000000","000000000000-0000",98,125
,,,,,,,,0,"000000000000","000000000000-0000",100,126
,,,,,,,,0,"000000000000","000000000000-0000",102,128
,,,,,,,,0,"000000000000","000000000000-0000",105,130
,,,,,,,,0,"000000000000","000000000000-0000",107,131
,,,,,,,,0,"000000000000","000000000000-0000",109,133
,,,,,,,,0,"000000000000","000000000000-0000",112,135
,,,,,,,,0,"000000000000","000000000000-0000",114,136
,,,,,,,,0,"000000000000","000000000000-0000",116,138
,,,,,,,,0,"000000000000","000000000000-0000",119,140
,,,,,,,,0,"000000000000","000000000000-0000",121,141
,,,,,,,,0,"000000000000","000000000000-0000",123,143
,,,,,,,,0,"000000000000","000000000000-0000",126,145
,,,,,,,,0,"000000000000","000000000000-0000",128,146
,,,,,,,,0,"000000000000","000000000000-0000",130,148
,,,,,,,,0,"000000000000","000000000000-0000",133,150
,,,,,,,,0,"000000000000","000000000000-0000",135,151
,,,,,,,,0,"000000000000","000000000000-0000",137,153
,,,,,,,,0,"000000000000","000000000000-0000",140,155
,,,,,,,,0,"000000000000","000000000000-0000",142,156
,,,,,,,,0,"000000000000","000000000000-0000",144,158
,,,,,,,,0,"000000000000","000000000000-0000",147,160
,,,,,,,,0,"000000000000","000000000000-0000",149,161
,,,,,,,,0,"000000000000","000000000000-0000",151,163
,,,,,,,,0,"000000000000","000000000000-0000",154,165
,,,,,,,,0,"000000000000","000000000000-0000",157,166
,,,,,,,,0,"000000000000","000000000000-0000",159,167
,,,,,,,,0,"000000000000","000000000000-0000",163,168
,,,,,,,,0,"000000000000","000000000000-0000",165,169
,,,,,,,,0,"000000000000","000000000000-0000",169,170
,,,,,,,,0,"000000000000","000000000000-0000",171,171
,,,,,,,,0,"000000000000","000000000000-0000",175,172
,,,,,,,,0,"000000000000","000000000000-0000",177,173
,,,,,,,,0,"000000000000","000000000000-0000",181,174
,,,,,,,,0,"000000000000","000000000000-0000",183,175
,,,,,,,,0,"000000000000","000000000000-0000",187,176
,,,,,,,,0,"000000000000","000000000000-0000",189,177
,,,,,,,,0,"000000000000","000000000000-0000",193,178
,,,,,,,,0,"000000000000","000000000000-0000",195,179
,,,,,,,,0,"000000000000","000000000000-0000",199,180
,,,,,,,,0,"000000000000","000000000000-0000",201,181
,,,,,,,,0,"000000000000","000000000000-0000",205,182
,,,,,,,,0,"000000000000","000000000000-0000",207,183
,,,,,,,,0,"000000000000","000000000000-0000",211,184
,,,,,,,,0,"000000000000","000000000000-0000",213,185
,,,,,,,,0,"000000000000","000000000000-0000",216,201
,,,,,,,,0,"000000000000","000000000000-0000",217,202
,,,,,,,,0,"000000000000","000000000000-0000",218,203
,,,,,,,,0,"000000000000","000000000000-0000",219,204
,,,,,,,,0,"000000000000","000000000000-0000",220,205
,,,,,,,,0,"000000000000","000000000000-0000",221,206
,,,,,,,,0,"000000000000","000000000000-0000",222,207
,,,,,,,,0,"000000000000","000000000000-0000",223,208
,,,,,,,,0,"000000000000","000000000000-0000",224,209
,,,,,,,,0,"000000000000","000000000000-0000",225,210
,,,,,,,,0,"000000000000","000000000000-0000",226,211
,,,,,,,,0,"000000000000","000000000000-0000",227,212
,,,,,,,,0,"000000000000","000000000000-0000",228,213
,,,,,,,,0,"000000000000","000000000000-0000",229,214
,,,,,,,,0,"000000000000","000000000000-0000",230,215
,,,,,,,,0,"000000000000","000000000000-0000",231,216
,,,,,,,,0,"000000000000","000000000000-0000",232,217
,,,,,,,,0,"000000000000","000000000000-0000",233,218
,,,,,,,,0,"000000000000","000000000000-0000",234,219
,,,,,,,,0,"000000000000","000000000000-0000",235,220
,,,,,,,,0,"000000000000","000000000000-0000",236,221
,,,,,,,,0,"000000000000","000000000000-0000",237,222
,,,,,,,,0,"000000000000","000000000000-0000",238,223
,,,,,,,,0,"000000000000","000000000000-0000",239,224
,,,,,,,,0,"000000000000","000000000000-0000",240,225
,,,,,,,,0,"000000000000","000000000000-0000",241,226
,,,,,,,,0,"000000000000","000000000000-0000",242,227
,,,,,,,,0,"000000000000","000000000000-0000",243,228
,,,,,,,,0,"000000000000","000000000000-0000",244,229
,,,,,,,,0,"000000000000","000000000000-0000",245,230
,,,,,,,,0,"000000000000","000000000000-0000",246,231
,,,,,,,,0,"000000000000","000000000000-0000",247,232
,,,,,,,,0,"000000000000","000000000000-0000",248,233
,,,,,,,,0,"000000000000","000000000000-0000",249,234
,,,,,,,,0,"000000000000","000000000000-0000",250,235
,,,,,,,,0,"000000000000","000000000000-0000",251,236
,,,,,,,,0,"000000000000","000000000000-0000",252,237
,,,,,,,,0,"000000000000","000000000000-0000",253,238
,,,,,,,,0,"000000000000","000000000000-0000",254,239
,,,,,,,,0,"000000000000","000000000000-0000",255,240
,,,,,,,,0,"000000000000","000000000000-0000",256,241
,,,,,,,,0,"000000000000","000000000000-0000",257,242
,,,,,,,,0,"000000000000","000000000000-0000",258,243
,,,,,,,,0,"000000000000","000000000000-0000",259,244
,,,,,,,,0,"000000000000","000000000000-0000",260,245
,,,,,,,,0,"000000000000","000000000000-0000",261,246
,,,,,,,,0,"000000000000","000000000000-0000",262,247
,,,,,,,,0,"000000000000","000000000000-0000",263,248
,,,,,,,,0,"000000000000","000000000000-0000",264,249
,,,,,,,,0,"000000000000","000000000000-0000",265,250
,,,,,,,,0,"000000000000","000000000000-0000",266,251
,,,,,,,,0,"000000000000","000000000000-0000",267,252
,,,,,,,,0,"000000000000","000000000000-0000",268,253
,,,,,,,,0,"000000000000","000000000000-0000",269,254
,,,,,,,,0,"000000000000","000000000000-0000",270,255
,,,,,,,,0,"000000000000","000000000000-0000",271,256
,,,,,,,,0,"000000000000","000000000000-0000",272,257
,,,,,,,,0,"000000000000","000000000000-0000",273,258
,,,,,,,,0,"000000000000","000000000000-0000",274,259
,,,,,,,,0,"000000000000","000000000000-0000",275,260
,,,,,,,,0,"000000000000","000000000000-0000",276,261
,,,,,,,,0,"000000000000","000000000000-0000",277,262
,,,,,,,,0,"000000000000","000000000000-0000",278,263
,,,,,,,,0,"000000000000","000000000000-0000",279,264
,,,,,,,,0,"000000000000","000000000000-0000",280,265
,,,,,,,,0,"000000000000","000000000000-0000",281,266
,,,,,,,,0,"000000000000","000000000000-0000",282,267
,,,,,,,,0,"000000000000","000000000000-0000",283,268
,,,,,,,,0,"000000000000","000000000000-0000",284,269
,,,,,,,,0,"000000000000","000000000000-0000",285,270
,,,,,,,,0,"000000000000","000000000000-0000",286,271
,,,,,,,,0,"000000000000","000000000000-0000",287,272
,,,,,,,,0,"000000000000","000000000000-0000",288,273
,,,,,,,,0,"000000000000","000000000000-0000",289,274
,,,,,,,,0,"000000000000","000000000000-0000",290,275
,,,,,,,,0,"000000000000","000000000000-0000",291,276
,,,,,,,,0,"000000000000","000000000000-0000",292,277
,,,,,,,,0,"000000000000","000000000000-0000",293,278
,,,,,,,,0,"000000000000","000000000000-0000",294,279
,,,,,,,,0,"000000000000","000000000000-0000",295,280
,,,,,,,,0,"000000000000","000000000000-0000",296,281
,,,,,,,,0,"000000000000","000000000000-0000",297,282
,,,,,,,,0,"000000000000","000000000000-0000",298,283
,,,,,,,,0,"000000000000","000000000000-0000",299,284
,,,,,,,,0,"000000000000","000000000000-0000",300,285
,,,,,,,,0,"000000000000","000000000000-0000",301,286
,,,,,,,,0,"000000000000","000000000000-0000",302,287
,,,,,,,,0,"000000000000","000000000000-0000",303,288
,,,,,,,,0,"000000000000","000000000000-0000",304,289
,,,,,,,,0,"000000000000","000000000000-0000",305,290
,,,,,,,,0,"000000000000","000000000000-0000",306,291
,,,,,,,,0,"000000000000","000000000000-0000",307,292
,,,,,,,,0,"000000000000","000000000000-0000",308,293
,,,,,,,,0,"000000000000","000000000000-0000",309,294
,,,,,,,,0,"000000000000","000000000000-0000",310,295
,,,,,,,,0,"000000000000","000000000000-0000",311,296
,,,,,,,,0,"000000000000","000000000000-0000",312,297
,,,,,,,,0,"000000000000","000000000000-0000",313,298
,,,,,,,,0,"000000000000","000000000000-0000",314,299
,,,,,,,,0,"000000000000","000000000000-0000",315,300
,,,,,,,,0,"000000000000","000000000000-0000",316,446
,,,,,,,,0,"000000000000","000000000000-0000",317,447
,,,,,,,,0,"000000000000","000000000000-0000",318,448
,,,,,,,,0,"000000000000","000000000000-0000",319,449
,,,,,,,,0,"000000000000","000000000000-0000",320,450
,,,,,,,,0,"000000000000","000000000000-0000",321,451
,,,,,,,,0,"000000000000","000000000000-0000",322,452
,,,,,,,,0,"000000000000","000000000000-0000",323,453
,,,,,,,,0,"000000000000","000000000000-0000",324,454
,,,,,,,,0,"000000000000","000000000000-0000",325,455
,,,,,,,,0,"000000000000","000000000000-0000",336,456
,,,,,,,,0,"000000000000","000000000000-0000",337,457
,,,,,,,,0,"000000000000","000000000000-0000",338,458
,,,,,,,,0,"000000000000","000000000000-0000",339,459
,,,,,,,,0,"000000000000","000000000000-0000",340,460
,,,,,,,,0,"000000000000","000000000000-0000",341,461
,,,,,,,,0,"000000000000","000000000000-0000",342,462
,,,,,,,,0,"000000000000","000000000000-0000",343,463
,,,,,,,,0,"000000000000","000000000000-0000",344,464
,,,,,,,,0,"000000000000","000000000000-0000",345,465
,,,,,,,,0,"000000000000","000000000000-0000",346,466
,,,,,,,,0,"000000000000","000000000000-0000",347,467
,,,,,,,,0,"000000000000","000000000000-0000",348,468
,,,,,,,,0,"000000000000","000000000000-0000",349,469
,,,,,,,,0,"000000000000","000000000000-0000",350,470
,,,,,,,,0,"000000000000","000000000000-0000",351,471
,,,,,,,,0,"000000000000","000000000000-0000",352,472
,,,,,,,,0,"000000000000","000000000000-0000",353,473
,,,,,,,,0,"000000000000","000000000000-0000",354,474
,,,,,,,,0,"000000000000","000000000000-0000",355,475
,,,,,,,,0,"000000000000","000000000000-0000",366,486
,,,,,,,,0,"000000000000","000000000000-0000",367,487
,,,,,,,,0,"000000000000","000000000000-0000",368,488
,,,,,,,,0,"000000000000","000000000000-0000",369,489
,,,,,,,,0,"000000000000","000000000000-0000",370,490
,,,,,,,,0,"000000000000","000000000000-0000",371,491
,,,,,,,,0,"000000000000","000000000000-0000",372,492
,,,,,,,,0,"000000000000","000000000000-0000",373,493
,,,,,,,,0,"000000000000","000000000000-0000",374,494
,,,,,,,,0,"000000000000","000000000000-0000",375,495
,,,,,,,,0,"000000000000","000000000000-0000",386,496
,,,,,,,,0,"000000000000","000000000000-0000",387,497
,,,,,,,,0,"000000000000","000000000000-0000",388,498
,,,,,,,,0,"000000000000","000000000000-0000",389,499
,,,,,,,,0,"000000000000","000000000000-0000",390,500
,,,,,,,,0,"000000000000","000000000000-0000",391,501
,,,,,,,,0,"000000000000","000000000000-0000",392,502
,,,,,,,,0,"000000000000","000000000000-0000",393,503
,,,,,,,,0,"000000000000","000000000000-0000",394,504
,,,,,,,,0,"000000000000","000000000000-0000",395,505
,,,,,,,,0,"000000000000","000000000000-0000",396,506
,,,,,,,,0,"000000000000","000000000000-0000",397,507
,,,,,,,,0,"000000000000","000000000000-0000",398,508
,,,,,,,,0,"000000000000","000000000000-0000",399,509
,,,,,,,,0,"000000000000","000000000000-0000",400,510
,,,,,,,,0,"000000000000","000000000000-0000",401,511
