ins_date,ins_ccd,ins_scd,ins_pg,upd_date,upd_ccd,upd_scd,upd_pg,exclus_ver,contract_cd,cid,attendance_item_id,disp_order
,,,,,,,,0,"000000000000","000000000000-0000",3,1
,,,,,,,,0,"000000000000","000000000000-0000",4,2
,,,,,,,,0,"000000000000","000000000000-0000",5,170
,,,,,,,,0,"000000000000","000000000000-0000",6,171
,,,,,,,,0,"000000000000","000000000000-0000",12,178
,,,,,,,,0,"000000000000","000000000000-0000",13,179
,,,,,,,,0,"000000000000","000000000000-0000",14,180
,,,,,,,,0,"000000000000","000000000000-0000",15,181
,,,,,,,,0,"000000000000","000000000000-0000",16,182
,,,,,,,,0,"000000000000","000000000000-0000",17,183
,,,,,,,,0,"000000000000","000000000000-0000",18,184
,,,,,,,,0,"000000000000","000000000000-0000",19,185
,,,,,,,,0,"000000000000","000000000000-0000",20,186
,,,,,,,,0,"000000000000","000000000000-0000",21,187
,,,,,,,,0,"000000000000","000000000000-0000",30,5
,,,,,,,,0,"000000000000","000000000000-0000",31,7
,,,,,,,,0,"000000000000","000000000000-0000",32,172
,,,,,,,,0,"000000000000","000000000000-0000",33,3
,,,,,,,,0,"000000000000","000000000000-0000",34,4
,,,,,,,,0,"000000000000","000000000000-0000",35,13
,,,,,,,,0,"000000000000","000000000000-0000",36,14
,,,,,,,,0,"000000000000","000000000000-0000",37,15
,,,,,,,,0,"000000000000","000000000000-0000",38,16
,,,,,,,,0,"000000000000","000000000000-0000",39,17
,,,,,,,,0,"000000000000","000000000000-0000",40,18
,,,,,,,,0,"000000000000","000000000000-0000",41,19
,,,,,,,,0,"000000000000","000000000000-0000",42,20
,,,,,,,,0,"000000000000","000000000000-0000",43,21
,,,,,,,,0,"000000000000","000000000000-0000",44,22
,,,,,,,,0,"000000000000","000000000000-0000",45,23
,,,,,,,,0,"000000000000","000000000000-0000",46,24
,,,,,,,,0,"000000000000","000000000000-0000",47,25
,,,,,,,,0,"000000000000","000000000000-0000",48,26
,,,,,,,,0,"000000000000","000000000000-0000",49,27
,,,,,,,,0,"000000000000","000000000000-0000",50,28
