INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,OPTIONAL_ITEM_NO,UPPER_LIMIT_ATR,LOWER_LIMIT_ATR,UPPER_DAY_TIME_RANGE,LOWER_DAY_TIME_RANGE,UPPER_DAY_NUMBER_RANGE,LOWER_DAY_NUMBER_RANGE,UPPER_DAY_AMOUNT_RANGE,LOWER_DAY_AMOUNT_RANGE,UPPER_MON_TIME_RANGE,LOWER_MON_TIME_RANGE,UPPER_MON_NUMBER_RANGE,LOWER_MON_NUMBER_RANGE,UPPER_MON_AMOUNT_RANGE,LOWER_MON_AMOUNT_RANGE,INPUT_UNIT_TIME,INPUT_UNIT_NUMBER,INPUT_UNIT_AMOUNT
,,,,,,,,0,"000000000000","000000000000-0000",1,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",2,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",3,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",4,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",5,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",6,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",7,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",8,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",9,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",10,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",11,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",12,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",13,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",14,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",15,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",16,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",17,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",18,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",19,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",20,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",21,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",22,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",23,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",24,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",25,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",26,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",27,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",28,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",29,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",30,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",31,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",32,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",33,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",34,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",35,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",36,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",37,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",38,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",39,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",40,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",41,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",42,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",43,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",44,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",45,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",46,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",47,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",48,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",49,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",50,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",51,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",52,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",53,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",54,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",55,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",56,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",57,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",58,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",59,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",60,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",61,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",62,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",63,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",64,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",65,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",66,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",67,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",68,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",69,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",70,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",71,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",72,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",73,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",74,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",75,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",76,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",77,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",78,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",79,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",80,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",81,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",82,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",83,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",84,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",85,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",86,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",87,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",88,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",89,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",90,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",91,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",92,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",93,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",94,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",95,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",96,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",97,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",98,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",99,false,false,,,,,,,,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",100,false,false,,,,,,,,,,,,,,,
