INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,ATTENDANCE_ITEM_ID,ROUND_UNIT,ROUND_PROC
,,,,,,,,0,"000000000000","000000000000-0000",5,0,0
,,,,,,,,0,"000000000000","000000000000-0000",6,0,0
,,,,,,,,0,"000000000000","000000000000-0000",12,0,0
,,,,,,,,0,"000000000000","000000000000-0000",31,0,0
,,,,,,,,0,"000000000000","000000000000-0000",32,0,0
,,,,,,,,0,"000000000000","000000000000-0000",35,0,0
,,,,,,,,0,"000000000000","000000000000-0000",36,0,0
,,,,,,,,0,"000000000000","000000000000-0000",37,0,0
,,,,,,,,0,"000000000000","000000000000-0000",38,0,0
,,,,,,,,0,"000000000000","000000000000-0000",39,0,0
,,,,,,,,0,"000000000000","000000000000-0000",40,0,0
,,,,,,,,0,"000000000000","000000000000-0000",41,0,0
,,,,,,,,0,"000000000000","000000000000-0000",42,0,0
,,,,,,,,0,"000000000000","000000000000-0000",43,0,0
,,,,,,,,0,"000000000000","000000000000-0000",44,0,0
,,,,,,,,0,"000000000000","000000000000-0000",110,0,0
,,,,,,,,0,"000000000000","000000000000-0000",111,0,0
,,,,,,,,0,"000000000000","000000000000-0000",112,0,0
,,,,,,,,0,"000000000000","000000000000-0000",113,0,0
,,,,,,,,0,"000000000000","000000000000-0000",114,0,0
,,,,,,,,0,"000000000000","000000000000-0000",115,0,0
,,,,,,,,0,"000000000000","000000000000-0000",116,0,0
,,,,,,,,0,"000000000000","000000000000-0000",117,0,0
,,,,,,,,0,"000000000000","000000000000-0000",118,0,0
,,,,,,,,0,"000000000000","000000000000-0000",119,0,0
,,,,,,,,0,"000000000000","000000000000-0000",313,0,0
,,,,,,,,0,"000000000000","000000000000-0000",316,0,0
,,,,,,,,0,"000000000000","000000000000-0000",319,0,0
,,,,,,,,0,"000000000000","000000000000-0000",331,0,0
,,,,,,,,0,"000000000000","000000000000-0000",334,0,0
,,,,,,,,0,"000000000000","000000000000-0000",335,0,0
,,,,,,,,0,"000000000000","000000000000-0000",336,0,0
,,,,,,,,0,"000000000000","000000000000-0000",337,0,0
,,,,,,,,0,"000000000000","000000000000-0000",338,0,0
,,,,,,,,0,"000000000000","000000000000-0000",339,0,0
,,,,,,,,0,"000000000000","000000000000-0000",340,0,0
,,,,,,,,0,"000000000000","000000000000-0000",341,0,0
,,,,,,,,0,"000000000000","000000000000-0000",342,0,0
,,,,,,,,0,"000000000000","000000000000-0000",343,0,0
,,,,,,,,0,"000000000000","000000000000-0000",354,0,0
,,,,,,,,0,"000000000000","000000000000-0000",355,0,0
,,,,,,,,0,"000000000000","000000000000-0000",356,0,0
,,,,,,,,0,"000000000000","000000000000-0000",357,0,0
,,,,,,,,0,"000000000000","000000000000-0000",358,0,0
,,,,,,,,0,"000000000000","000000000000-0000",359,0,0
,,,,,,,,0,"000000000000","000000000000-0000",360,0,0
,,,,,,,,0,"000000000000","000000000000-0000",361,0,0
,,,,,,,,0,"000000000000","000000000000-0000",362,0,0
,,,,,,,,0,"000000000000","000000000000-0000",363,0,0
,,,,,,,,0,"000000000000","000000000000-0000",378,0,0
,,,,,,,,0,"000000000000","000000000000-0000",379,0,0
,,,,,,,,0,"000000000000","000000000000-0000",380,0,0
,,,,,,,,0,"000000000000","000000000000-0000",381,0,0
,,,,,,,,0,"000000000000","000000000000-0000",382,0,0
,,,,,,,,0,"000000000000","000000000000-0000",383,0,0
,,,,,,,,0,"000000000000","000000000000-0000",384,0,0
,,,,,,,,0,"000000000000","000000000000-0000",385,0,0
,,,,,,,,0,"000000000000","000000000000-0000",386,0,0
,,,,,,,,0,"000000000000","000000000000-0000",387,0,0
