"INS_DATE","INS_CCD","INS_SCD","INS_PG","UPD_DATE","UPD_CCD","UPD_SCD","UPD_PG","EXCLUS_VER","CONTRACT_CD","CID","DVGC_TIME_NO","ALARM_MESSAGE","ERROR_MESSAGE"
,,,,,,,,"0","000000000000","000000000000-0000","1","実際の早出時間と申請された時間に大きな差があります。","実際の早出時間と申請された時間に大きな差があります。理由を入力するか、正しく申請してください。"
,,,,,,,,"0","000000000000","000000000000-0000","2","実際の残業時間と申請された時間に大きな差があります。","実際の残業時間と申請された時間に大きな差があります。理由を入力するか、正しく申請してください。"
,,,,,,,,"0","000000000000","000000000000-0000","3","実際の休出時間と申請された時間に大きな差があります。","実際の休出時間と申請された時間に大きな差があります。乖離理由を入力するか、正しく申請してください。"
,,,,,,,,"0","000000000000","000000000000-0000","4","入門時刻と出勤時刻に大きな差があります。","入門時刻と出勤時刻に大きな差があります。適切な時刻に変更してください。"
,,,,,,,,"0","000000000000","000000000000-0000","5","退勤時刻と退門時刻に大きな差があります。","退勤時刻と退門時刻に大きな差があります。適切な時刻に変更してください。"
,,,,,,,,"0","000000000000","000000000000-0000","6","PCログオン時刻と出勤時刻に大きな差があります。","PCログオン時刻と出勤時刻に大きな差があります。適切な時刻に変更してください。"
,,,,,,,,"0","000000000000","000000000000-0000","7","退勤時刻とPCログオフ時刻に大きな差があります。","退勤時刻とPCログオフ時刻に大きな差があります。適切な時刻に変更してください。"
,,,,,,,,"0","000000000000","000000000000-0000","8","　","　"
,,,,,,,,"0","000000000000","000000000000-0000","9","　","　"
,,,,,,,,"0","000000000000","000000000000-0000","10","　","　"
