"INS_DATE","INS_CCD","INS_SCD","INS_PG","UPD_DATE","UPD_CCD","UPD_SCD","UPD_PG","EXCLUS_VER","CONTRACT_CD","CID","ERAL_CHECK_ID","MESSAGE_DISPLAY","FILTER_BY_BUSINESS_TYPE","FILTER_BY_JOB_TITLE","FILTER_BY_EMPLOYMENT","FILTER_BY_CLASSIFICATION","WORKTYPE_USE_ATR","WT_PLAN_ACTUAL_OPERATOR","WT_PLAN_FILTER_ATR","WT_ACTUAL_FILTER_ATR","WT_COMPARE_ATR","WORKING_HOURS_USE_ATR","WH_PLAN_ACTUAL_OPERATOR","WH_PLAN_FILTER_ATR","WH_ACTUAL_FILTER_ATR","WH_COMPARE_ATR","OPERATOR_BETWEEN_GROUPS","GROUP2_USE_ATR","ATD_ITEM_CONDITION_GROUP1","ATD_ITEM_CONDITION_GROUP2","CONTINUOUS_PERIOD"
,,,,,,,,"0","000000000000","000000000000-0000","000000000000000000000000000000000001","出退勤の打刻が漏れています。","0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","000000000000000000000000000000000002","PCログが漏れています。","0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","000000000000000000000000000000000003","入退門の打刻が漏れています。","0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","000000000000000000000000000000000004","打刻の順序が不正です。","0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","000000000000000000000000000000000005","休日に打刻がされています。","0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","000000000000000000000000000000000006","二重打刻があります。","0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","000000000000000000000000000000000007","遅刻があります。","0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","000000000000000000000000000000000008","早退があります。","0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","000000000000000000000000000000000009","事前残業申請より超過しています。","0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","000000000000000000000000000000000010","事前休出申請より超過しています。","0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","000000000000000000000000000000000011","事前フレックス申請より超過しています。","0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","000000000000000000000000000000000012","事前深夜申請より超過しています。","0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","000000000000000000000000000000000013","打刻から計算した残業時間を超過しています。","0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","000000000000000000000000000000000014","打刻から計算した休出時間を超過しています。","0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","000000000000000000000000000000000015","打刻から計算した深夜時間を超過しています。","0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","000000000000000000000000000000000016","打刻から計算したフレックス時間を超過しています。","0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","000000000000000000000000000000000017","乖離時間にエラーがあります。","0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","000000000000000000000000000000000018","乖離時間にアラームがあります。","0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","000000000000000000000000000000000019","乖離理由が漏れています。","0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","000000000000000000000000000000000020","複数回勤務があります。","0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","000000000000000000000000000000000021","臨時勤務があります。","0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","000000000000000000000000000000000022","特定日に出勤しています。","0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","00000000000000000000000000000000D001",,"0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","00000000000000000000000000000000D002",,"0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","00000000000000000000000000000000D003",,"0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","00000000000000000000000000000000D004",,"0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","00000000000000000000000000000000D005",,"0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","00000000000000000000000000000000D006",,"0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","00000000000000000000000000000000D007",,"0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","00000000000000000000000000000000D008",,"0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","00000000000000000000000000000000D009",,"0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","00000000000000000000000000000000D010",,"0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","00000000000000000000000000000000D011",,"0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","00000000000000000000000000000000D012",,"0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","00000000000000000000000000000000D013",,"0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","00000000000000000000000000000000D014",,"0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","00000000000000000000000000000000D015",,"0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","00000000000000000000000000000000D016",,"0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","00000000000000000000000000000000D017",,"0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","00000000000000000000000000000000D018",,"0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","00000000000000000000000000000000D019",,"0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","00000000000000000000000000000000D020",,"0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","00000000000000000000000000000000D101",,"0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","00000000000000000000000000000000D103",,"0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","00000000000000000000000000000000D105",,"0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","00000000000000000000000000000000D107",,"0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","00000000000000000000000000000000D109",,"0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","00000000000000000000000000000000D111",,"0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","00000000000000000000000000000000D113",,"0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","00000000000000000000000000000000D115",,"0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","00000000000000000000000000000000D117",,"0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","00000000000000000000000000000000D119",,"0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
,,,,,,,,"0","000000000000","000000000000-0000","00000000000000000000000000000000OTK1",,"0","0","0","0","0","0",,,,"0","0",,,,"0","0","0                                   ",,
