INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,ERROR_ALARM_CD,ERROR_ALARM_NAME,FIXED_ATR,USE_ATR,ERAL_ATR,BOLD_ATR,MESSAGE_COLOR,CANCELABLE_ATR,ERROR_DISPLAY_ITEM,ERAL_CHECK_ID,CANCEL_ROLE_ID,REMARK_CANCEL_ERR_INP,REMARK_COLUMN_NO
,,,,,,,,"0","000000000000","000000000000-0000","D001","早出残業乖離時間","1","0","0","0",,"1","436","00000000000000000000000000000000D001",,"0","0"
,,,,,,,,"0","000000000000","000000000000-0000","D002","早出残業乖離時間","1","0","1","0",,"1","436","00000000000000000000000000000000D002",,"0","0"
,,,,,,,,"0","000000000000","000000000000-0000","D003","普通残業乖離時間","1","0","0","0",,"1","441","00000000000000000000000000000000D003",,"0","0"
,,,,,,,,"0","000000000000","000000000000-0000","D004","普通残業乖離時間","1","0","1","0",,"1","441","00000000000000000000000000000000D004",,"0","0"
,,,,,,,,"0","000000000000","000000000000-0000","D005","休日出勤乖離時間","1","0","0","0",,"1","446","00000000000000000000000000000000D005",,"0","0"
,,,,,,,,"0","000000000000","000000000000-0000","D006","休日出勤乖離時間","1","0","1","0",,"1","446","00000000000000000000000000000000D006",,"0","0"
,,,,,,,,"0","000000000000","000000000000-0000","D007","入館乖離時間","1","0","0","0",,"1","451","00000000000000000000000000000000D007",,"0","0"
,,,,,,,,"0","000000000000","000000000000-0000","D008","入館乖離時間","1","0","1","0",,"1","451","00000000000000000000000000000000D008",,"0","0"
,,,,,,,,"0","000000000000","000000000000-0000","D009","退館乖離時間","1","0","0","0",,"1","456","00000000000000000000000000000000D009",,"0","0"
,,,,,,,,"0","000000000000","000000000000-0000","D010","退館乖離時間","1","0","1","0",,"1","456","00000000000000000000000000000000D010",,"0","0"
,,,,,,,,"0","000000000000","000000000000-0000","D011","PCﾛｸﾞｵﾝ乖離時間","1","0","0","0",,"1","799","00000000000000000000000000000000D011",,"0","0"
,,,,,,,,"0","000000000000","000000000000-0000","D012","PCﾛｸﾞｵﾝ乖離時間","1","0","1","0",,"1","799","00000000000000000000000000000000D012",,"0","0"
,,,,,,,,"0","000000000000","000000000000-0000","D013","PCﾛｸﾞｵﾌ乖離時間","1","0","0","0",,"1","804","00000000000000000000000000000000D013",,"0","0"
,,,,,,,,"0","000000000000","000000000000-0000","D014","PCﾛｸﾞｵﾌ乖離時間","1","0","1","0",,"1","804","00000000000000000000000000000000D014",,"0","0"
,,,,,,,,"0","000000000000","000000000000-0000","D015","任意乖離時間1","1","0","0","0",,"1","809","00000000000000000000000000000000D015",,"0","0"
,,,,,,,,"0","000000000000","000000000000-0000","D016","任意乖離時間1","1","0","1","0",,"1","809","00000000000000000000000000000000D016",,"0","0"
,,,,,,,,"0","000000000000","000000000000-0000","D017","任意乖離時間2","1","0","0","0",,"1","814","00000000000000000000000000000000D017",,"0","0"
,,,,,,,,"0","000000000000","000000000000-0000","D018","任意乖離時間2","1","0","1","0",,"1","814","00000000000000000000000000000000D018",,"0","0"
,,,,,,,,"0","000000000000","000000000000-0000","D019","任意乖離時間3","1","0","0","0",,"1","819","00000000000000000000000000000000D019",,"0","0"
,,,,,,,,"0","000000000000","000000000000-0000","D020","任意乖離時間3","1","0","1","0",,"1","819","00000000000000000000000000000000D020",,"0","0"
,,,,,,,,"0","000000000000","000000000000-0000","D101","早出残業乖離時間","1","0","0","0",,"1","438","00000000000000000000000000000000D101",,"0","0"
,,,,,,,,"0","000000000000","000000000000-0000","D103","普通残業乖離時間","1","0","0","0",,"1","443","00000000000000000000000000000000D103",,"0","0"
,,,,,,,,"0","000000000000","000000000000-0000","D105","休日出勤乖離時間","1","0","0","0",,"1","448","00000000000000000000000000000000D105",,"0","0"
