INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,MAN_HR_ITEM_ID,CONTRACT_CD,CID,DISPLAY_FORMAT,MAN_HR_ITEM_NAME
,,,,,,,,0,1,"000000000000","000000000000-0000",0,"開始時刻"
,,,,,,,,0,2,"000000000000","000000000000-0000",0,"終了時刻"
,,,,,,,,0,3,"000000000000","000000000000-0000",0,"作業時間"
,,,,,,,,0,4,"000000000000","000000000000-0000",0,"作業1"
,,,,,,,,0,5,"000000000000","000000000000-0000",0,"作業2"
,,,,,,,,0,6,"000000000000","000000000000-0000",0,"作業3"
,,,,,,,,0,7,"000000000000","000000000000-0000",0,"作業4"
,,,,,,,,0,8,"000000000000","000000000000-0000",0,"作業5"
,,,,,,,,0,10,"000000000000","000000000000-0000",1,"勤務-時間1"
,,,,,,,,0,11,"000000000000","000000000000-0000",1,"勤務-時間2"
,,,,,,,,0,12,"000000000000","000000000000-0000",1,"勤務-時間3"
,,,,,,,,0,13,"000000000000","000000000000-0000",1,"勤務-時間4"
,,,,,,,,0,14,"000000000000","000000000000-0000",1,"勤務-時間5"
,,,,,,,,0,15,"000000000000","000000000000-0000",1,"勤務-数値1"
,,,,,,,,0,16,"000000000000","000000000000-0000",1,"勤務-数値2"
,,,,,,,,0,17,"000000000000","000000000000-0000",1,"勤務-数値3"
,,,,,,,,0,18,"000000000000","000000000000-0000",1,"勤務-数値4"
,,,,,,,,0,19,"000000000000","000000000000-0000",1,"勤務-数値5"
,,,,,,,,0,20,"000000000000","000000000000-0000",1,"勤務-コメント1"
,,,,,,,,0,21,"000000000000","000000000000-0000",1,"勤務-コメント2"
,,,,,,,,0,22,"000000000000","000000000000-0000",1,"勤務-コメント3"
,,,,,,,,0,23,"000000000000","000000000000-0000",1,"勤務-コメント4"
,,,,,,,,0,24,"000000000000","000000000000-0000",1,"勤務-コメント5"
,,,,,,,,0,25,"000000000000","000000000000-0000",1,"勤務-コード1"
,,,,,,,,0,26,"000000000000","000000000000-0000",1,"勤務-コード2"
,,,,,,,,0,27,"000000000000","000000000000-0000",1,"勤務-コード3"
,,,,,,,,0,28,"000000000000","000000000000-0000",1,"勤務-コード4"
,,,,,,,,0,29,"000000000000","000000000000-0000",1,"勤務-コード5"
