INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,SUP_NO,MAN_HR_ITEM_ID,CID,ATTENDANCE_ITEM_ID,CONTRACT_CD
,,,,,,,,0,1,1,"000000000000-0000",929,"000000000000"
,,,,,,,,0,1,2,"000000000000-0000",930,"000000000000"
,,,,,,,,0,1,3,"000000000000-0000",1305,"000000000000"
,,,,,,,,0,1,4,"000000000000-0000",924,"000000000000"
,,,,,,,,0,1,5,"000000000000-0000",925,"000000000000"
,,,,,,,,0,1,6,"000000000000-0000",926,"000000000000"
,,,,,,,,0,1,7,"000000000000-0000",927,"000000000000"
,,,,,,,,0,1,8,"000000000000-0000",928,"000000000000"
,,,,,,,,0,1,10,"000000000000-0000",2251,"000000000000"
,,,,,,,,0,1,11,"000000000000-0000",2252,"000000000000"
,,,,,,,,0,1,12,"000000000000-0000",2253,"000000000000"
,,,,,,,,0,1,13,"000000000000-0000",2254,"000000000000"
,,,,,,,,0,1,14,"000000000000-0000",2255,"000000000000"
,,,,,,,,0,1,15,"000000000000-0000",2256,"000000000000"
,,,,,,,,0,1,16,"000000000000-0000",2257,"000000000000"
,,,,,,,,0,1,17,"000000000000-0000",2258,"000000000000"
,,,,,,,,0,1,18,"000000000000-0000",2259,"000000000000"
,,,,,,,,0,1,19,"000000000000-0000",2260,"000000000000"
,,,,,,,,0,1,20,"000000000000-0000",2261,"000000000000"
,,,,,,,,0,1,21,"000000000000-0000",2262,"000000000000"
,,,,,,,,0,1,22,"000000000000-0000",2263,"000000000000"
,,,,,,,,0,1,23,"000000000000-0000",2264,"000000000000"
,,,,,,,,0,1,24,"000000000000-0000",2265,"000000000000"
,,,,,,,,0,1,25,"000000000000-0000",2266,"000000000000"
,,,,,,,,0,1,26,"000000000000-0000",2267,"000000000000"
,,,,,,,,0,1,27,"000000000000-0000",2268,"000000000000"
,,,,,,,,0,1,28,"000000000000-0000",2269,"000000000000"
,,,,,,,,0,1,29,"000000000000-0000",2270,"000000000000"
,,,,,,,,0,2,1,"000000000000-0000",939,"000000000000"
,,,,,,,,0,2,2,"000000000000-0000",940,"000000000000"
