INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,M_ATD_ITEM_ID,M_ATD_ITEM_NAME,DISP_NO,IS_ALLOW_CHANGE,LINE_BREAK_POS_NAME,M_ATD_ITEM_ATR,PRIMITIVE_VALUE,TWO_MONTHLY_DISPLAY,DISPLAY_NAME
,,,,,,,,0,"000000000000","000000000000-0000",3,"集計日数",1,0,0,3,18,3,"集計日数"
,,,,,,,,0,"000000000000","000000000000-0000",4,"法定労働時間",2,0,0,1,16,2,"法定労働時間"
,,,,,,,,0,"000000000000","000000000000-0000",5,"週割増合計時間",170,1,0,1,16,3,"週割増合計時間"
,,,,,,,,0,"000000000000","000000000000-0000",6,"月間割増合計時間",171,1,0,1,16,3,"月間割増合計時間"
,,,,,,,,0,"000000000000","000000000000-0000",12,"フレックス時間",178,0,0,1,17,3,"フレックス時間"
,,,,,,,,0,"000000000000","000000000000-0000",13,"計算フレックス時間",179,0,0,1,17,3,"計算フレックス時間"
,,,,,,,,0,"000000000000","000000000000-0000",14,"事前フレックス時間",180,0,0,1,16,3,"事前フレックス時間"
,,,,,,,,0,"000000000000","000000000000-0000",15,"フレックス法定内時間",181,1,0,1,17,3,"フレックス法定内時間"
,,,,,,,,0,"000000000000","000000000000-0000",16,"フレックス法定外時間",182,1,0,1,17,3,"フレックス法定外時間"
,,,,,,,,0,"000000000000","000000000000-0000",17,"フレックス超過時間",183,1,0,1,16,3,"フレックス超過時間"
,,,,,,,,0,"000000000000","000000000000-0000",18,"フレックス不足時間",184,1,0,1,16,3,"フレックス不足時間"
,,,,,,,,0,"000000000000","000000000000-0000",19,"フレックス繰越時間",185,1,0,1,16,1,"フレックス繰越時間"
,,,,,,,,0,"000000000000","000000000000-0000",20,"フレックス繰越勤務時間",186,1,0,1,16,1,"フレックス繰越勤務時間"
,,,,,,,,0,"000000000000","000000000000-0000",21,"フレックス繰越不足時間",187,1,0,1,16,1,"フレックス繰越不足時間"
,,,,,,,,0,"000000000000","000000000000-0000",30,"総労働時間",5,1,0,1,16,3,"総労働時間"
,,,,,,,,0,"000000000000","000000000000-0000",31,"就業時間",7,1,0,1,16,3,"就業時間"
,,,,,,,,0,"000000000000","000000000000-0000",32,"所定内割増時間",172,1,0,1,16,3,"所定内割増時間"
,,,,,,,,0,"000000000000","000000000000-0000",33,"計画所定労働時間",3,1,0,1,16,3,"計画所定労働時間"
,,,,,,,,0,"000000000000","000000000000-0000",34,"所定労働時間",4,0,0,1,16,3,"所定労働時間"
,,,,,,,,0,"000000000000","000000000000-0000",35,"残業時間1",13,1,0,1,16,3,"{0}"
,,,,,,,,0,"000000000000","000000000000-0000",36,"残業時間2",14,1,0,1,16,3,"{0}"
,,,,,,,,0,"000000000000","000000000000-0000",37,"残業時間3",15,1,0,1,16,3,"{0}"
