INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,STAMP_MEANS,PAGE_NO,BUTTON_POSITION_NO,USE_ATR,BUTTON_NAME,CHANGE_CLOCK_ATR,CHANGE_CAL_ATR,SET_PRE_CLOCK_ATR,CHANGE_HALF_DAY,GO_OUT_ATR,TEXT_COLOR,BACK_GROUND_COLOR,AUDIO_TYPE,SUPPORT_WPL_SET,TASK_CHOICE_ATR
,,,,,,,,"0","000000000000","000000000000-0000","0","1","1","1","出勤","0","0","0",false,,"#ffffff","#127d09","1","0","0"
,,,,,,,,"0","000000000000","000000000000-0000","0","1","2","1","退勤","1","0","0",false,,"#ffffff","#127d09","2","0","0"
,,,,,,,,"0","000000000000","000000000000-0000","0","2","1","1","外出","4","0","0",false,"0","#ffffff","#127d09","0","0","0"
,,,,,,,,"0","000000000000","000000000000-0000","0","2","2","1","戻り","5","0","0",false,,"#ffffff","#127d09","0","0","0"
,,,,,,,,"0","000000000000","000000000000-0000","0","2","3","1","応援開始","6","0","0",false,,"#ffffff","#127d09","0","0","0"
,,,,,,,,"0","000000000000","000000000000-0000","1","1","1","1","出勤","0","0","0",false,,"#ffffff","#127d09","0","0","0"
,,,,,,,,"0","000000000000","000000000000-0000","1","1","2","1","退勤","1","0","0",false,,"#ffffff","#127d09","0","0","0"
,,,,,,,,"0","000000000000","000000000000-0000","1","1","3","1","応援開始","6","0","0",false,,"#ffffff","#127d09","0","0","0"
,,,,,,,,"0","000000000000","000000000000-0000","1","1","4","1","応援終了","8","0","0",false,,"#ffffff","#127d09","0","0","0"
,,,,,,,,"0","000000000000","000000000000-0000","1","2","1","1","出勤","0","0","0",false,,"#ffffff","#127d09","0","0","0"
,,,,,,,,"0","000000000000","000000000000-0000","1","2","2","1","退勤","1","0","0",false,,"#ffffff","#127d09","0","0","0"
,,,,,,,,"0","000000000000","000000000000-0000","1","2","3","1","直行","0","0","1",false,,"#ffffff","#127d09","0","0","0"
,,,,,,,,"0","000000000000","000000000000-0000","1","2","4","1","直帰","1","0","2",false,,"#ffffff","#127d09","0","0","0"
,,,,,,,,"0","000000000000","000000000000-0000","1","2","5","1","外出","4","0","0",false,"1","#ffffff","#d9d2e9","0","0","0"
,,,,,,,,"0","000000000000","000000000000-0000","1","2","6","1","戻り","5","0","0",false,,"#ffffff","#d9d2e9","0","0","0"
,,,,,,,,"0","000000000000","000000000000-0000","1","2","7","1","応援開始","6","0","0",false,,"#ffffff","#127d09","0","0","0"
,,,,,,,,"0","000000000000","000000000000-0000","1","2","8","1","応援終了","8","0","0",false,,"#ffffff","#127d09","0","0","0"
,,,,,,,,"0","000000000000","000000000000-0000","3","1","1","1","出勤","0","0","0",false,,"#ffffff","#127d09","0","0","0"
,,,,,,,,"0","000000000000","000000000000-0000","3","1","2","1","退勤","1","0","0",false,,"#ffffff","#127d09","0","0","0"
,,,,,,,,"0","000000000000","000000000000-0000","3","1","3","1","直行","0","0","1",false,,"#ffffff","#127d09","0","0","0"
,,,,,,,,"0","000000000000","000000000000-0000","3","1","4","1","直帰","1","0","2",false,,"#ffffff","#127d09","0","0","0"
,,,,,,,,"0","000000000000","000000000000-0000","4","0","1","1","出勤","0","0","0",false,,"#ffffff","#127d09","0","0","0"
,,,,,,,,"0","000000000000","000000000000-0000","4","0","2","1","退勤","1","0","0",false,,"#ffffff","#127d09","0","0","0"
,,,,,,,,"0","000000000000","000000000000-0000","4","0","3","1","外出","4","0","0",false,"0","#ffffff","#127d09","0","0","0"
,,,,,,,,"0","000000000000","000000000000-0000","4","0","4","1","戻り","5","0","0",false,,"#ffffff","#127d09","0","0","0"
