INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,APP_TYPE,MEMO,USE_ATR
,"    ","            ","",,"    ","            ","","0","000000000000","000000000000-0000","0","","1"
,"    ","            ","",,"    ","            ","","0","000000000000","000000000000-0000","1","","1"
,"    ","            ","",,"    ","            ","","0","000000000000","000000000000-0000","2","","1"
,"    ","            ","",,"    ","            ","","0","000000000000","000000000000-0000","3","","1"
,"    ","            ","",,"    ","            ","","0","000000000000","000000000000-0000","4","","1"
,"    ","            ","",,"    ","            ","","0","000000000000","000000000000-0000","6","","1"
,"    ","            ","",,"    ","            ","","0","000000000000","000000000000-0000","7","","1"
,"    ","            ","",,"    ","            ","","0","000000000000","000000000000-0000","8","","1"
,"    ","            ","",,"    ","            ","","0","000000000000","000000000000-0000","9","","1"
,"    ","            ","",,"    ","            ","","0","000000000000","000000000000-0000","10","","1"
,"    ","            ","",,"    ","            ","","0","000000000000","000000000000-0000","15","","1"
