INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,APP_TYPE,PRE_POST_INIT_ATR,PRE_POST_CHANGE_ATR,APV_SEND_MAIL_ATR,APP_SEND_MAIL_ATR,POST_FUTURE_ALLOW_ATR,PRE_EARLY_DAYS,USE_ATR,PRE_OT_CHECK_SET,PRE_OT_BEF_WORK_TIME,PRE_OT_AFT_WORK_TIME,PRE_OT_BEF_AFT_WORK_TIME,FIXED_REASON_DISP_ATR,REASON_DISP_ATR,PRE_OT_MUL_WORK_TIME
,,,,,,,,0,"000000000000","000000000000-0000",0,0,1,1,1,0,0,0,1,,,,0,0,,
,,,,,,,,0,"000000000000","000000000000-0000",1,0,1,1,1,0,0,0,,,,,,,,
,,,,,,,,0,"000000000000","000000000000-0000",2,0,1,1,1,0,0,0,,,,,0,0,,
,,,,,,,,0,"000000000000","000000000000-0000",3,0,1,1,1,0,0,0,,,,,0,0,,
,,,,,,,,0,"000000000000","000000000000-0000",4,0,1,1,1,0,0,0,,,,,0,0,,
,,,,,,,,0,"000000000000","000000000000-0000",6,0,1,1,1,0,0,0,,,,,0,0,,
,,,,,,,,0,"000000000000","000000000000-0000",7,1,0,1,1,0,0,0,,,,,0,0,,
,,,,,,,,0,"000000000000","000000000000-0000",8,0,1,1,1,0,0,0,,,,,0,0,,
,,,,,,,,0,"000000000000","000000000000-0000",9,1,0,1,1,0,0,0,,,,,0,0,,
,,,,,,,,0,"000000000000","000000000000-0000",10,0,1,1,1,0,0,0,,,,,0,0,,
,,,,,,,,0,"000000000000","000000000000-0000",15,0,1,1,1,0,0,0,,,,,0,0,,
