INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,TOTAL_ITEM_NO,TOTAL_ITEM_NAME
,,,,,,,,0,"000000000000","000000000000-0000",1,"所定時間"
,,,,,,,,0,"000000000000","000000000000-0000",2,"総労働時間"
,,,,,,,,0,"000000000000","000000000000-0000",3,"月間勤務日数"
,,,,,,,,0,"000000000000","000000000000-0000",4,"公休可能数"
,,,,,,,,0,"000000000000","000000000000-0000",5,"公休取得数"
,,,,,,,,0,"000000000000","000000000000-0000",6,"月間目安日数"
,,,,,,,,0,"000000000000","000000000000-0000",7,"月間目安時間"
,,,,,,,,0,"000000000000","000000000000-0000",8,"月間目安金額"
,,,,,,,,0,"000000000000","000000000000-0000",9,"月間支給金額"
,,,,,,,,0,"000000000000","000000000000-0000",10,"月間基準時間"
,,,,,,,,0,"000000000000","000000000000-0000",11,"月間過不足時間"
,,,,,,,,0,"000000000000","000000000000-0000",12,"年間目安日数"
,,,,,,,,0,"000000000000","000000000000-0000",13,"年間勤務日数"
,,,,,,,,0,"000000000000","000000000000-0000",14,"年間目安時間"
,,,,,,,,0,"000000000000","000000000000-0000",15,"年間勤務時間"
,,,,,,,,0,"000000000000","000000000000-0000",16,"年間目安金額"
,,,,,,,,0,"000000000000","000000000000-0000",17,"年間支給金額"
,,,,,,,,0,"000000000000","000000000000-0000",18,"夜勤上限時間"
,,,,,,,,0,"000000000000","000000000000-0000",19,"夜勤時間"
,,,,,,,,0,"000000000000","000000000000-0000",20,"夜勤過不足時間"
,,,,,,,,0,"000000000000","000000000000-0000",21,"回数集計1"
,,,,,,,,0,"000000000000","000000000000-0000",22,"回数集計2"
,,,,,,,,0,"000000000000","000000000000-0000",23,"週間休日日数"
,,,,,,,,0,"000000000000","000000000000-0000",24,"週間勤務時間"
,,,,,,,,0,"000000000000","000000000000-0000",25,"人件費時間"
