INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,SCHEDULE_ITEM_ID,SCHEDULE_ITEM_NAME,SCHEDULE_ITEM_ATR
,,,,,,,,0,"000000000000","000000000000-0000","1                                   ","勤務種類",4
,,,,,,,,0,"000000000000","000000000000-0000","10                                  ","休憩終了時刻2",1
,,,,,,,,0,"000000000000","000000000000-0000","100                                 ","休出時振休として扱う",3
,,,,,,,,0,"000000000000","000000000000-0000","101                                 ","休暇の扱い",3
,,,,,,,,0,"000000000000","000000000000-0000","102                                 ","育児時間",0
,,,,,,,,0,"000000000000","000000000000-0000","103                                 ","介護時間",0
,,,,,,,,0,"000000000000","000000000000-0000","11                                  ","休憩開始時刻3",1
,,,,,,,,0,"000000000000","000000000000-0000","12                                  ","休憩終了時刻3",1
,,,,,,,,0,"000000000000","000000000000-0000","13                                  ","休憩開始時刻4",1
,,,,,,,,0,"000000000000","000000000000-0000","14                                  ","休憩終了時刻4",1
,,,,,,,,0,"000000000000","000000000000-0000","15                                  ","休憩開始時刻5",1
,,,,,,,,0,"000000000000","000000000000-0000","16                                  ","休憩終了時刻5",1
,,,,,,,,0,"000000000000","000000000000-0000","17                                  ","休憩開始時刻6",1
,,,,,,,,0,"000000000000","000000000000-0000","18                                  ","休憩終了時刻6",1
,,,,,,,,0,"000000000000","000000000000-0000","19                                  ","休憩開始時刻7",1
,,,,,,,,0,"000000000000","000000000000-0000","2                                   ","就業時間帯",4
,,,,,,,,0,"000000000000","000000000000-0000","20                                  ","休憩終了時刻7",1
,,,,,,,,0,"000000000000","000000000000-0000","21                                  ","休憩開始時刻8",1
,,,,,,,,0,"000000000000","000000000000-0000","22                                  ","休憩終了時刻8",1
,,,,,,,,0,"000000000000","000000000000-0000","23                                  ","休憩開始時刻9",1
,,,,,,,,0,"000000000000","000000000000-0000","24                                  ","休憩終了時刻9",1
