INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,SCHEDULE_ITEM_ID,DISPORDER
,,,,,,,,0,"000000000000","000000000000-0000","1                                   ",1
,,,,,,,,0,"000000000000","000000000000-0000","10                                  ",10
,,,,,,,,0,"000000000000","000000000000-0000","100                                 ",102
,,,,,,,,0,"000000000000","000000000000-0000","101                                 ",103
,,,,,,,,0,"000000000000","000000000000-0000","102                                 ",40
,,,,,,,,0,"000000000000","000000000000-0000","103                                 ",41
,,,,,,,,0,"000000000000","000000000000-0000","11                                  ",11
,,,,,,,,0,"000000000000","000000000000-0000","12                                  ",12
,,,,,,,,0,"000000000000","000000000000-0000","13                                  ",13
,,,,,,,,0,"000000000000","000000000000-0000","14                                  ",14
,,,,,,,,0,"000000000000","000000000000-0000","15                                  ",15
,,,,,,,,0,"000000000000","000000000000-0000","16                                  ",16
,,,,,,,,0,"000000000000","000000000000-0000","17                                  ",17
,,,,,,,,0,"000000000000","000000000000-0000","18                                  ",18
,,,,,,,,0,"000000000000","000000000000-0000","19                                  ",19
,,,,,,,,0,"000000000000","000000000000-0000","2                                   ",2
,,,,,,,,0,"000000000000","000000000000-0000","20                                  ",20
,,,,,,,,0,"000000000000","000000000000-0000","21                                  ",21
,,,,,,,,0,"000000000000","000000000000-0000","22                                  ",22
,,,,,,,,0,"000000000000","000000000000-0000","23                                  ",23
,,,,,,,,0,"000000000000","000000000000-0000","24                                  ",24
,,,,,,,,0,"000000000000","000000000000-0000","25                                  ",25
,,,,,,,,0,"000000000000","000000000000-0000","26                                  ",26
,,,,,,,,0,"000000000000","000000000000-0000","27                                  ",27
,,,,,,,,0,"000000000000","000000000000-0000","28                                  ",28
,,,,,,,,0,"000000000000","000000000000-0000","29                                  ",29
,,,,,,,,0,"000000000000","000000000000-0000","3                                   ",3
,,,,,,,,0,"000000000000","000000000000-0000","30                                  ",30
,,,,,,,,0,"000000000000","000000000000-0000","31                                  ",31
,,,,,,,,0,"000000000000","000000000000-0000","32                                  ",32
,,,,,,,,0,"000000000000","000000000000-0000","33                                  ",33
,,,,,,,,0,"000000000000","000000000000-0000","34                                  ",34
,,,,,,,,0,"000000000000","000000000000-0000","35                                  ",35
,,,,,,,,0,"000000000000","000000000000-0000","36                                  ",36
,,,,,,,,0,"000000000000","000000000000-0000","37                                  ",37
,,,,,,,,0,"000000000000","000000000000-0000","39                                  ",39
,,,,,,,,0,"000000000000","000000000000-0000","4                                   ",4
,,,,,,,,0,"000000000000","000000000000-0000","40                                  ",42
,,,,,,,,0,"000000000000","000000000000-0000","41                                  ",43
,,,,,,,,0,"000000000000","000000000000-0000","42                                  ",44
,,,,,,,,0,"000000000000","000000000000-0000","43                                  ",45
,,,,,,,,0,"000000000000","000000000000-0000","44                                  ",46
,,,,,,,,0,"000000000000","000000000000-0000","45                                  ",47
,,,,,,,,0,"000000000000","000000000000-0000","46                                  ",48
,,,,,,,,0,"000000000000","000000000000-0000","47                                  ",49
,,,,,,,,0,"000000000000","000000000000-0000","48                                  ",50
,,,,,,,,0,"000000000000","000000000000-0000","49                                  ",51
,,,,,,,,0,"000000000000","000000000000-0000","5                                   ",5
,,,,,,,,0,"000000000000","000000000000-0000","50                                  ",52
,,,,,,,,0,"000000000000","000000000000-0000","51                                  ",53
,,,,,,,,0,"000000000000","000000000000-0000","52                                  ",54
,,,,,,,,0,"000000000000","000000000000-0000","53                                  ",55
,,,,,,,,0,"000000000000","000000000000-0000","54                                  ",56
,,,,,,,,0,"000000000000","000000000000-0000","55                                  ",57
,,,,,,,,0,"000000000000","000000000000-0000","56                                  ",58
,,,,,,,,0,"000000000000","000000000000-0000","57                                  ",59
,,,,,,,,0,"000000000000","000000000000-0000","58                                  ",60
,,,,,,,,0,"000000000000","000000000000-0000","59                                  ",61
,,,,,,,,0,"000000000000","000000000000-0000","6                                   ",6
,,,,,,,,0,"000000000000","000000000000-0000","60                                  ",62
,,,,,,,,0,"000000000000","000000000000-0000","61                                  ",63
,,,,,,,,0,"000000000000","000000000000-0000","62                                  ",64
,,,,,,,,0,"000000000000","000000000000-0000","63                                  ",65
,,,,,,,,0,"000000000000","000000000000-0000","64                                  ",66
,,,,,,,,0,"000000000000","000000000000-0000","65                                  ",100
,,,,,,,,0,"000000000000","000000000000-0000","66                                  ",101
,,,,,,,,0,"000000000000","000000000000-0000","7                                   ",7
,,,,,,,,0,"000000000000","000000000000-0000","8                                   ",8
,,,,,,,,0,"000000000000","000000000000-0000","9                                   ",9
