INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,SPECIFIC_DATE_ITEM_NO,USE_ATR,NAME
,,,,,,,,0,"000000000000","000000000000-0000",1,1,"特定日1"
,,,,,,,,0,"000000000000","000000000000-0000",2,0,"特定日2"
,,,,,,,,0,"000000000000","000000000000-0000",3,0,"特定日3"
,,,,,,,,0,"000000000000","000000000000-0000",4,0,"特定日4"
,,,,,,,,0,"000000000000","000000000000-0000",5,0,"特定日5"
,,,,,,,,0,"000000000000","000000000000-0000",6,0,"特定日6"
,,,,,,,,0,"000000000000","000000000000-0000",7,0,"特定日7"
,,,,,,,,0,"000000000000","000000000000-0000",8,0,"特定日8"
,,,,,,,,0,"000000000000","000000000000-0000",9,0,"特定日9"
,,,,,,,,0,"000000000000","000000000000-0000",10,0,"特定日10"
