ins_date,ins_ccd,ins_scd,ins_pg,upd_date,upd_ccd,upd_scd,upd_pg,exclus_ver,contract_cd,cid,absence_frame_no,name,use_atr
,,,,,,,,0,"000000000000","000000000000-0000",1,"欠勤枠1",0
,,,,,,,,0,"000000000000","000000000000-0000",2,"欠勤枠2",0
,,,,,,,,0,"000000000000","000000000000-0000",3,"欠勤枠3",0
,,,,,,,,0,"000000000000","000000000000-0000",4,"欠勤枠4",0
,,,,,,,,0,"000000000000","000000000000-0000",5,"欠勤枠5",0
,,,,,,,,0,"000000000000","000000000000-0000",6,"欠勤枠6",0
,,,,,,,,0,"000000000000","000000000000-0000",7,"欠勤枠7",0
,,,,,,,,0,"000000000000","000000000000-0000",8,"欠勤枠8",0
,,,,,,,,0,"000000000000","000000000000-0000",9,"欠勤枠9",0
,,,,,,,,0,"000000000000","000000000000-0000",10,"欠勤枠10",0
,,,,,,,,0,"000000000000","000000000000-0000",11,"欠勤枠11",0
,,,,,,,,0,"000000000000","000000000000-0000",12,"欠勤枠12",0
,,,,,,,,0,"000000000000","000000000000-0000",13,"欠勤枠13",0
,,,,,,,,0,"000000000000","000000000000-0000",14,"欠勤枠14",0
,,,,,,,,0,"000000000000","000000000000-0000",15,"欠勤枠15",0
,,,,,,,,0,"000000000000","000000000000-0000",16,"欠勤枠16",0
,,,,,,,,0,"000000000000","000000000000-0000",17,"欠勤枠17",0
,,,,,,,,0,"000000000000","000000000000-0000",18,"欠勤枠18",0
,,,,,,,,0,"000000000000","000000000000-0000",19,"欠勤枠19",0
,,,,,,,,0,"000000000000","000000000000-0000",20,"欠勤枠20",0
,,,,,,,,0,"000000000000","000000000000-0000",21,"欠勤枠21",0
,,,,,,,,0,"000000000000","000000000000-0000",22,"欠勤枠22",0
,,,,,,,,0,"000000000000","000000000000-0000",23,"欠勤枠23",0
,,,,,,,,0,"000000000000","000000000000-0000",24,"欠勤枠24",0
,,,,,,,,0,"000000000000","000000000000-0000",25,"欠勤枠25",0
,,,,,,,,0,"000000000000","000000000000-0000",26,"欠勤枠26",0
,,,,,,,,0,"000000000000","000000000000-0000",27,"欠勤枠27",0
,,,,,,,,0,"000000000000","000000000000-0000",28,"欠勤枠28",0
,,,,,,,,0,"000000000000","000000000000-0000",29,"欠勤枠29",0
,,,,,,,,0,"000000000000","000000000000-0000",30,"欠勤枠30",0
