INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,SPHD_FRAME_NO,NAME,USE_ATR,TIME_MNG_ATR
,,,,,,,,"0","000000000000","000000000000-0000","1","特別休暇枠1","1","0"
,,,,,,,,"0","000000000000","000000000000-0000","2","特別休暇枠2","1","0"
,,,,,,,,"0","000000000000","000000000000-0000","3","特別休暇枠3","1","0"
,,,,,,,,"0","000000000000","000000000000-0000","4","特別休暇枠4","1","0"
,,,,,,,,"0","000000000000","000000000000-0000","5","特別休暇枠5","1","0"
,,,,,,,,"0","000000000000","000000000000-0000","6","特別休暇枠6","1","0"
,,,,,,,,"0","000000000000","000000000000-0000","7","特別休暇枠7","1","0"
,,,,,,,,"0","000000000000","000000000000-0000","8","特別休暇枠8","1","0"
,,,,,,,,"0","000000000000","000000000000-0000","9","特別休暇枠9","1","0"
,,,,,,,,"0","000000000000","000000000000-0000","10","特別休暇枠10","1","0"
,,,,,,,,"0","000000000000","000000000000-0000","11","特別休暇枠11","1","0"
,,,,,,,,"0","000000000000","000000000000-0000","12","特別休暇枠12","1","0"
,,,,,,,,"0","000000000000","000000000000-0000","13","特別休暇枠13","1","0"
,,,,,,,,"0","000000000000","000000000000-0000","14","特別休暇枠14","1","0"
,,,,,,,,"0","000000000000","000000000000-0000","15","特別休暇枠15","1","0"
,,,,,,,,"0","000000000000","000000000000-0000","16","特別休暇枠16","1","0"
,,,,,,,,"0","000000000000","000000000000-0000","17","特別休暇枠17","1","0"
,,,,,,,,"0","000000000000","000000000000-0000","18","特別休暇枠18","1","0"
,,,,,,,,"0","000000000000","000000000000-0000","19","特別休暇枠19","1","0"
,,,,,,,,"0","000000000000","000000000000-0000","20","特別休暇枠20","1","0"
,,,,,,,,"0","000000000000","000000000000-0000","21","特別休暇枠21","1","0"
,,,,,,,,"0","000000000000","000000000000-0000","22","特別休暇枠22","1","0"
,,,,,,,,"0","000000000000","000000000000-0000","23","特別休暇枠23","1","0"
,,,,,,,,"0","000000000000","000000000000-0000","24","特別休暇枠24","1","0"
,,,,,,,,"0","000000000000","000000000000-0000","25","特別休暇枠25","1","0"
,,,,,,,,"0","000000000000","000000000000-0000","26","特別休暇枠26","1","0"
,,,,,,,,"0","000000000000","000000000000-0000","27","特別休暇枠27","1","0"
,,,,,,,,"0","000000000000","000000000000-0000","28","特別休暇枠28","1","0"
,,,,,,,,"0","000000000000","000000000000-0000","29","特別休暇枠29","1","0"
,,,,,,,,"0","000000000000","000000000000-0000","30","特別休暇枠30","1","0"
