INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,WDO_FR_NO,USE_ATR,WDO_FR_NAME,TRANS_FR_NAME,ROLE
,,,,,,,,"0","000000000000","000000000000-0000","1","1","休日出勤１","振替休日１","0"
,,,,,,,,"0","000000000000","000000000000-0000","2","1","休日出勤２","振替休日２","0"
,,,,,,,,"0","000000000000","000000000000-0000","3","1","休日出勤３","振替休日３","0"
,,,,,,,,"0","000000000000","000000000000-0000","4","1","休日出勤４","振替休日４","0"
,,,,,,,,"0","000000000000","000000000000-0000","5","1","休日出勤５","振替休日５","0"
,,,,,,,,"0","000000000000","000000000000-0000","6","1","休日出勤６","振替休日６","0"
,,,,,,,,"0","000000000000","000000000000-0000","7","1","休日出勤７","振替休日７","0"
,,,,,,,,"0","000000000000","000000000000-0000","8","1","休日出勤８","振替休日８","0"
,,,,,,,,"0","000000000000","000000000000-0000","9","1","休日出勤９","振替休日９","0"
,,,,,,,,"0","000000000000","000000000000-0000","10","1","休日出勤１０","振替休日１０","0"
