INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,BRD_ITEM_NO,NAME,USE_ATR,PRODUCT_NUMBER
,,,,,,,,"0","000000000000","000000000000-0000","1","内訳1","1","1"
,,,,,,,,"0","000000000000","000000000000-0000","2","内訳2","0","2"
,,,,,,,,"0","000000000000","000000000000-0000","3","内訳3","0","3"
,,,,,,,,"0","000000000000","000000000000-0000","4","内訳4","0","4"
,,,,,,,,"0","000000000000","000000000000-0000","5","内訳5","0","5"
,,,,,,,,"0","000000000000","000000000000-0000","6","内訳6","0","6"
,,,,,,,,"0","000000000000","000000000000-0000","7","内訳7","0","7"
,,,,,,,,"0","000000000000","000000000000-0000","8","内訳8","0","8"
,,,,,,,,"0","000000000000","000000000000-0000","9","内訳9","0","9"
,,,,,,,,"0","000000000000","000000000000-0000","10","内訳10","0","10"
