INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,OT_FR_NO,USE_ATR,OT_FR_NAME,TRANS_FR_NAME,ROLE,TRANSFER_ATR
,,,,,,,,"0","000000000000","000000000000-0000","1","1","残業１","振替残業１","0","1"
,,,,,,,,"0","000000000000","000000000000-0000","2","1","残業２","振替残業２","0","1"
,,,,,,,,"0","000000000000","000000000000-0000","3","1","残業３","振替残業３","0","1"
,,,,,,,,"0","000000000000","000000000000-0000","4","1","残業４","振替残業４","0","1"
,,,,,,,,"0","000000000000","000000000000-0000","5","1","残業５","振替残業５","0","1"
,,,,,,,,"0","000000000000","000000000000-0000","6","1","残業６","振替残業６","0","1"
,,,,,,,,"0","000000000000","000000000000-0000","7","1","残業７","振替残業７","0","1"
,,,,,,,,"0","000000000000","000000000000-0000","8","1","残業８","振替残業８","0","1"
,,,,,,,,"0","000000000000","000000000000-0000","9","1","残業９","振替残業９","0","1"
,,,,,,,,"0","000000000000","000000000000-0000","10","1","残業１０","振替残業１０","0","1"
