INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,TOTAL_TIMES_NO,UPPER_LIMIT_SET_ATR,LOWER_LIMIT_SET_ATR,THRESOLD_UPPER_LIMIT,THRESOLD_LOWER_LIMIT,ATD_ITEM_ID
,,,,,,,,0,"000000000000","000000000000-0000",1,0,0,,,
,,,,,,,,0,"000000000000","000000000000-0000",2,0,0,,,
,,,,,,,,0,"000000000000","000000000000-0000",3,0,0,,,
,,,,,,,,0,"000000000000","000000000000-0000",4,0,0,,,
,,,,,,,,0,"000000000000","000000000000-0000",5,0,0,,,
,,,,,,,,0,"000000000000","000000000000-0000",6,0,0,,,
,,,,,,,,0,"000000000000","000000000000-0000",7,0,0,,,
,,,,,,,,0,"000000000000","000000000000-0000",8,0,0,,,
,,,,,,,,0,"000000000000","000000000000-0000",9,0,0,,,
,,,,,,,,0,"000000000000","000000000000-0000",10,0,0,,,
,,,,,,,,0,"000000000000","000000000000-0000",11,0,0,,,
,,,,,,,,0,"000000000000","000000000000-0000",12,0,0,,,
,,,,,,,,0,"000000000000","000000000000-0000",13,0,0,,,
,,,,,,,,0,"000000000000","000000000000-0000",14,0,0,,,
,,,,,,,,0,"000000000000","000000000000-0000",15,0,0,,,
,,,,,,,,0,"000000000000","000000000000-0000",16,0,0,,,
,,,,,,,,0,"000000000000","000000000000-0000",17,0,0,,,
,,,,,,,,0,"000000000000","000000000000-0000",18,0,0,,,
,,,,,,,,0,"000000000000","000000000000-0000",19,0,0,,,
,,,,,,,,0,"000000000000","000000000000-0000",20,0,0,,,
,,,,,,,,0,"000000000000","000000000000-0000",21,0,0,,,
,,,,,,,,0,"000000000000","000000000000-0000",22,0,0,,,
,,,,,,,,0,"000000000000","000000000000-0000",23,0,0,,,
,,,,,,,,0,"000000000000","000000000000-0000",24,0,0,,,
,,,,,,,,0,"000000000000","000000000000-0000",25,0,0,,,
,,,,,,,,0,"000000000000","000000000000-0000",26,0,0,,,
,,,,,,,,0,"000000000000","000000000000-0000",27,0,0,,,
,,,,,,,,0,"000000000000","000000000000-0000",28,0,0,,,
,,,,,,,,0,"000000000000","000000000000-0000",29,0,0,,,
,,,,,,,,0,"000000000000","000000000000-0000",30,0,0,,,
