INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,PREMIUM_NO,PREMIUM_NAME,USE_ATR
,,,,,,,,0,"000000000000","000000000000-0000",1,"法定内時間外時間",1
,,,,,,,,0,"000000000000","000000000000-0000",2,"法定外時間外時間",1
,,,,,,,,0,"000000000000","000000000000-0000",3,"法定外休出時間",1
,,,,,,,,0,"000000000000","000000000000-0000",4,"法定内休出時間",1
,,,,,,,,0,"000000000000","000000000000-0000",5,"深夜時間",1
,,,,,,,,0,"000000000000","000000000000-0000",6,"フレックス超過時間",1
,,,,,,,,0,"000000000000","000000000000-0000",7,"人件費時間7",0
,,,,,,,,0,"000000000000","000000000000-0000",8,"人件費時間8",0
,,,,,,,,0,"000000000000","000000000000-0000",9,"人件費時間9",0
,,,,,,,,0,"000000000000","000000000000-0000",10,"人件費時間10",0
