INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,CONVERT_CD,OUTPUT_ITEM,SYSTEM_CD,LINE_NUMBER
,,,,,,,,0,"000000000000","000000000000-0000","00004","01","1","1         "
,,,,,,,,0,"000000000000","000000000000-0000","00004","02","2","2         "
,,,,,,,,0,"000000000000","000000000000-0000","00004","03","3","3         "
,,,,,,,,0,"000000000000","000000000000-0000","00004","04","4","4         "
,,,,,,,,0,"000000000000","000000000000-0000","00004","05","5","5         "
,,,,,,,,0,"000000000000","000000000000-0000","00004","06","6","6         "
,,,,,,,,0,"000000000000","000000000000-0000","00005","0","1","1         "
,,,,,,,,0,"000000000000","000000000000-0000","00005","1","2","2         "
,,,,,,,,0,"000000000000","000000000000-0000","00015","202203","202001","1         "
,,,,,,,,0,"000000000000","000000000000-0000","00015","202204","202002","2         "
,,,,,,,,0,"000000000000","000000000000-0000","00015","202205","202003","3         "
,,,,,,,,0,"000000000000","000000000000-0000","00015","202206","202004","4         "
,,,,,,,,0,"000000000000","000000000000-0000","00016","02","1","1         "
,,,,,,,,0,"000000000000","000000000000-0000","00016","01","0","2         "
