INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,CND_SET_CD,CND_SET_NAME,CTG_ID,CND_OUT_NAME,ITEM_OUTPUT_NAME,DELIMITER,STRING_FORMAT,AUTO_EXECUTION,CHARACTER_CD,FILE_NAME
,,,,,,,,0,"000000000000","000000000000-0000","77603","HL連携-職場マスタ",603,0,1,1,1,1,3,"MHM_SECTION.bac	"
,,,,,,,,0,"000000000000","000000000000-0000","77605","HL連携-雇用マスタ",605,0,1,1,1,1,3,"MHT_CD_TITLE_TBL_雇用.bac"
,,,,,,,,0,"000000000000","000000000000-0000","77607","HL連携-個人基本情報",607,0,1,1,1,1,3,"MHT_KOJIN_KIHON_UK.bac	"
,,,,,,,,0,"000000000000","000000000000-0000","77608","HL連携-個人職位履歴",608,0,1,1,0,1,3,"MHT_KOJIN_JOBPOSTRANK_MAIN.bac"
,,,,,,,,0,"000000000000","000000000000-0000","77614","HL連携-個人雇用履歴",614,0,1,1,1,1,3,"MHT_KOJIN_KOYOU.bac"
,,,,,,,,0,"000000000000","000000000000-0000","77626","HL連携-個人休業休職",626,0,1,1,1,1,3,"MHT_KOJIN_KYUSYOKU.bac"
,,,,,,,,0,"000000000000","000000000000-0000","77628","HL連携-個人短時間",628,0,1,1,1,1,3,"MHT_KOJIN_SHORTTIME.bac"
,,,,,,,,0,"000000000000","000000000000-0000","77630","HL連携-月別実績情報",630,0,1,1,0,1,3,"MHT_MONTHLY_DATA.bac"
,,,,,,,,0,"000000000000","000000000000-0000","77640","HL連携-職位マスタ",640,0,1,1,1,1,3,"MHT_CD_TITLE_TBL_職位.bac"
,,,,,,,,0,"000000000000","000000000000-0000","77641","HL連携-分類マスタ",641,0,1,1,1,1,3,"MHT_CD_TITLE_TBL_分類.bac"
,,,,,,,,0,"000000000000","000000000000-0000","77642","HL連携-個人削除",642,0,1,1,1,1,3,"MHT_KOJIN_DELETE_UK.bac"
