INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CTG_ITEM_NO,CTG_ID,OPERATION_SYMBOL,DISPLAY_ORDER,CID,OUT_ITEM_CD,CND_SET_CD
,,,,,,,,0,"000000000000","1   ",603,,1,"000000000000-0000","0001 ","77603"
,,,,,,,,0,"000000000000","1   ",605,,1,"000000000000-0000","0001 ","77605"
,,,,,,,,0,"000000000000","1   ",607,,1,"000000000000-0000","0001 ","77607"
,,,,,,,,0,"000000000000","1   ",608,,1,"000000000000-0000","0001 ","77608"
,,,,,,,,0,"000000000000","1   ",614,,1,"000000000000-0000","0001 ","77614"
,,,,,,,,0,"000000000000","1   ",626,,1,"000000000000-0000","0001 ","77626"
,,,,,,,,0,"000000000000","1   ",628,,1,"000000000000-0000","0001 ","77628"
,,,,,,,,0,"000000000000","1   ",640,,1,"000000000000-0000","0001 ","77640"
,,,,,,,,0,"000000000000","1   ",641,,1,"000000000000-0000","0001 ","77641"
,,,,,,,,0,"000000000000","10  ",607,,1,"000000000000-0000","0010 ","77607"
,,,,,,,,0,"000000000000","11  ",607,,1,"000000000000-0000","0011 ","77607"
,,,,,,,,0,"000000000000","115 ",630,,1,"000000000000-0000","0115 ","77630"
,,,,,,,,0,"000000000000","116 ",630,,1,"000000000000-0000","0116 ","77630"
,,,,,,,,0,"000000000000","12  ",607,,1,"000000000000-0000","0012 ","77607"
,,,,,,,,0,"000000000000","13  ",607,,1,"000000000000-0000","0013 ","77607"
,,,,,,,,0,"000000000000","2   ",642,,1,"000000000000-0000","0001 ","77642"
,,,,,,,,0,"000000000000","2   ",607,,1,"000000000000-0000","0002 ","77607"
,,,,,,,,0,"000000000000","2   ",608,,1,"000000000000-0000","0002 ","77608"
,,,,,,,,0,"000000000000","2   ",614,,1,"000000000000-0000","0002 ","77614"
,,,,,,,,0,"000000000000","2   ",626,,1,"000000000000-0000","0002 ","77626"
,,,,,,,,0,"000000000000","2   ",628,,1,"000000000000-0000","0002 ","77628"
,,,,,,,,0,"000000000000","2   ",640,,1,"000000000000-0000","0002 ","77640"
,,,,,,,,0,"000000000000","2   ",641,,1,"000000000000-0000","0002 ","77641"
,,,,,,,,0,"000000000000","2   ",605,,1,"000000000000-0000","0007 ","77605"
,,,,,,,,0,"000000000000","2142",630,,1,"000000000000-0000","2142 ","77630"
,,,,,,,,0,"000000000000","3   ",603,,1,"000000000000-0000","0003 ","77603"
,,,,,,,,0,"000000000000","3   ",607,,1,"000000000000-0000","0003 ","77607"
,,,,,,,,0,"000000000000","3   ",608,,1,"000000000000-0000","0003 ","77608"
,,,,,,,,0,"000000000000","3   ",614,,1,"000000000000-0000","0003 ","77614"
,,,,,,,,0,"000000000000","3   ",626,,1,"000000000000-0000","0003 ","77626"
,,,,,,,,0,"000000000000","3   ",628,,1,"000000000000-0000","0003 ","77628"
,,,,,,,,0,"000000000000","3   ",640,,1,"000000000000-0000","0003 ","77640"
,,,,,,,,0,"000000000000","3   ",641,,1,"000000000000-0000","0003 ","77641"
,,,,,,,,0,"000000000000","3   ",605,,1,"000000000000-0000","0008 ","77605"
,,,,,,,,0,"000000000000","39  ",630,,1,"000000000000-0000","0039 ","77630"
,,,,,,,,0,"000000000000","4   ",603,,1,"000000000000-0000","0004 ","77603"
,,,,,,,,0,"000000000000","4   ",607,,1,"000000000000-0000","0004 ","77607"
,,,,,,,,0,"000000000000","4   ",608,,1,"000000000000-0000","0004 ","77608"
,,,,,,,,0,"000000000000","4   ",626,,1,"000000000000-0000","0004 ","77626"
,,,,,,,,0,"000000000000","4   ",628,,1,"000000000000-0000","0004 ","77628"
,,,,,,,,0,"000000000000","4   ",640,,1,"000000000000-0000","0004 ","77640"
,,,,,,,,0,"000000000000","4   ",641,,1,"000000000000-0000","0004 ","77641"
,,,,,,,,0,"000000000000","4   ",605,,1,"000000000000-0000","0009 ","77605"
,,,,,,,,0,"000000000000","5   ",603,,1,"000000000000-0000","0005 ","77603"
,,,,,,,,0,"000000000000","5   ",607,,1,"000000000000-0000","0005 ","77607"
,,,,,,,,0,"000000000000","5   ",608,,1,"000000000000-0000","0005 ","77608"
,,,,,,,,0,"000000000000","5   ",626,,1,"000000000000-0000","0005 ","77626"
,,,,,,,,0,"000000000000","5   ",628,,1,"000000000000-0000","0005 ","77628"
,,,,,,,,0,"000000000000","5   ",640,,1,"000000000000-0000","0005 ","77640"
,,,,,,,,0,"000000000000","5   ",641,,1,"000000000000-0000","0005 ","77641"
,,,,,,,,0,"000000000000","5   ",608,,1,"000000000000-0000","0006 ","77608"
,,,,,,,,0,"000000000000","5   ",626,,1,"000000000000-0000","0006 ","77626"
,,,,,,,,0,"000000000000","5   ",628,,1,"000000000000-0000","0006 ","77628"
,,,,,,,,0,"000000000000","5   ",605,,1,"000000000000-0000","0010 ","77605"
,,,,,,,,0,"000000000000","5   ",607,,1,"000000000000-0000","0014 ","77607"
,,,,,,,,0,"000000000000","6   ",603,,1,"000000000000-0000","0006 ","77603"
,,,,,,,,0,"000000000000","6   ",607,,1,"000000000000-0000","0006 ","77607"
,,,,,,,,0,"000000000000","618 ",630,,1,"000000000000-0000","0628 ","77630"
,,,,,,,,0,"000000000000","623 ",630,,1,"000000000000-0000","0623 ","77630"
,,,,,,,,0,"000000000000","626 ",630,,1,"000000000000-0000","0626 ","77630"
,,,,,,,,0,"000000000000","696 ",630,,1,"000000000000-0000","0696 ","77630"
,,,,,,,,0,"000000000000","7   ",603,,1,"000000000000-0000","0007 ","77603"
,,,,,,,,0,"000000000000","7   ",607,,1,"000000000000-0000","0007 ","77607"
,,,,,,,,0,"000000000000","8   ",607,,1,"000000000000-0000","0008 ","77607"
,,,,,,,,0,"000000000000","9   ",607,,1,"000000000000-0000","0009 ","77607"
,,,,,,,,0,"000000000000","99  ",630,,1,"000000000000-0000","0099 ","77630"
