INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CID,OUT_ITEM_CD,OUT_ITEM_NAME,CND_SET_CD,ITEM_TYPE,CONTRACT_CD
,,,,,,,,0,"000000000000-0000","0001","職場開始日[職場]","77603",2,"000000000000"
,,,,,,,,0,"000000000000-0000","0003","職場名称[職場]","77603",1,"000000000000"
,,,,,,,,0,"000000000000-0000","0004","職場略称[職場]","77603",1,"000000000000"
,,,,,,,,0,"000000000000-0000","0005","職場総称[職場]","77603",1,"000000000000"
,,,,,,,,0,"000000000000-0000","0006","内部階層コード[職場]","77603",1,"000000000000"
,,,,,,,,0,"000000000000-0000","0007","職場コード[職場]","77603",1,"000000000000"
,,,,,,,,0,"000000000000-0000","0001","開始日","77605",2,"000000000000"
,,,,,,,,0,"000000000000-0000","0007","種別名称","77605",1,"000000000000"
,,,,,,,,0,"000000000000-0000","0008","種別コード","77605",1,"000000000000"
,,,,,,,,0,"000000000000-0000","0009","種別コード名称","77605",1,"000000000000"
,,,,,,,,0,"000000000000-0000","0010","種別コード表示順","77605",1,"000000000000"
,,,,,,,,0,"000000000000-0000","0001","開始日","77640",2,"000000000000"
,,,,,,,,0,"000000000000-0000","0002","種別名称","77640",1,"000000000000"
,,,,,,,,0,"000000000000-0000","0003","職位コード","77640",1,"000000000000"
,,,,,,,,0,"000000000000-0000","0004","職位名称","77640",1,"000000000000"
,,,,,,,,0,"000000000000-0000","0005","種別コード表示順","77640",1,"000000000000"
,,,,,,,,0,"000000000000-0000","0001","開始日","77641",2,"000000000000"
,,,,,,,,0,"000000000000-0000","0002","種別名称","77641",1,"000000000000"
,,,,,,,,0,"000000000000-0000","0003","分類コード","77641",1,"000000000000"
,,,,,,,,0,"000000000000-0000","0004","分類名称","77641",1,"000000000000"
,,,,,,,,0,"000000000000-0000","0005","種別コード表示順","77641",1,"000000000000"
,,,,,,,,0,"000000000000-0000","0001","従業員コード[基本情報]","77607",1,"000000000000"
,,,,,,,,0,"000000000000-0000","0002","氏名[基本情報]","77607",1,"000000000000"
,,,,,,,,0,"000000000000-0000","0003","カナ氏名[基本情報]","77607",1,"000000000000"
,,,,,,,,0,"000000000000-0000","0004","生年月日[基本情報]","77607",2,"000000000000"
,,,,,,,,0,"000000000000-0000","0005","性別[基本情報]","77607",1,"000000000000"
,,,,,,,,0,"000000000000-0000","0006","血液型[基本情報]","77607",1,"000000000000"
,,,,,,,,0,"000000000000-0000","0007","入社年月日[基本情報]","77607",2,"000000000000"
,,,,,,,,0,"000000000000-0000","0008","退職年月日[基本情報]","77607",2,"000000000000"
,,,,,,,,0,"000000000000-0000","0009","採用区分[基本情報]","77607",1,"000000000000"
