INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CID,OUT_ITEM_CD,CND_SET_CD,DISPLAY_ORDER,CONTRACT_CD
,,,,,,,,0,"000000000000-0000","0001","77603",1,"000000000000"
,,,,,,,,0,"000000000000-0000","0003","77603",2,"000000000000"
,,,,,,,,0,"000000000000-0000","0004","77603",3,"000000000000"
,,,,,,,,0,"000000000000-0000","0005","77603",4,"000000000000"
,,,,,,,,0,"000000000000-0000","0006","77603",5,"000000000000"
,,,,,,,,0,"000000000000-0000","0007","77603",6,"000000000000"
,,,,,,,,0,"000000000000-0000","0001","77605",1,"000000000000"
,,,,,,,,0,"000000000000-0000","0007","77605",2,"000000000000"
,,,,,,,,0,"000000000000-0000","0008","77605",3,"000000000000"
,,,,,,,,0,"000000000000-0000","0009","77605",4,"000000000000"
,,,,,,,,0,"000000000000-0000","0010","77605",5,"000000000000"
,,,,,,,,0,"000000000000-0000","0001","77640",1,"000000000000"
,,,,,,,,0,"000000000000-0000","0002","77640",2,"000000000000"
,,,,,,,,0,"000000000000-0000","0003","77640",3,"000000000000"
,,,,,,,,0,"000000000000-0000","0004","77640",4,"000000000000"
,,,,,,,,0,"000000000000-0000","0005","77640",5,"000000000000"
,,,,,,,,0,"000000000000-0000","0001","77641",1,"000000000000"
,,,,,,,,0,"000000000000-0000","0002","77641",2,"000000000000"
,,,,,,,,0,"000000000000-0000","0003","77641",3,"000000000000"
,,,,,,,,0,"000000000000-0000","0004","77641",4,"000000000000"
,,,,,,,,0,"000000000000-0000","0005","77641",5,"000000000000"
,,,,,,,,0,"000000000000-0000","0001","77607",1,"000000000000"
,,,,,,,,0,"000000000000-0000","0002","77607",2,"000000000000"
,,,,,,,,0,"000000000000-0000","0003","77607",3,"000000000000"
,,,,,,,,0,"000000000000-0000","0004","77607",4,"000000000000"
,,,,,,,,0,"000000000000-0000","0005","77607",5,"000000000000"
,,,,,,,,0,"000000000000-0000","0006","77607",6,"000000000000"
,,,,,,,,0,"000000000000-0000","0007","77607",7,"000000000000"
,,,,,,,,0,"000000000000-0000","0008","77607",8,"000000000000"
,,,,,,,,0,"000000000000-0000","0009","77607",9,"000000000000"
,,,,,,,,0,"000000000000-0000","0010","77607",10,"000000000000"
,,,,,,,,0,"000000000000-0000","0011","77607",11,"000000000000"
,,,,,,,,0,"000000000000-0000","0012","77607",12,"000000000000"
,,,,,,,,0,"000000000000-0000","0013","77607",14,"000000000000"
,,,,,,,,0,"000000000000-0000","0014","77607",13,"000000000000"
,,,,,,,,0,"000000000000-0000","0001","77614",1,"000000000000"
,,,,,,,,0,"000000000000-0000","0002","77614",2,"000000000000"
,,,,,,,,0,"000000000000-0000","0003","77614",3,"000000000000"
,,,,,,,,0,"000000000000-0000","0001","77608",1,"000000000000"
,,,,,,,,0,"000000000000-0000","0002","77608",2,"000000000000"
,,,,,,,,0,"000000000000-0000","0003","77608",3,"000000000000"
,,,,,,,,0,"000000000000-0000","0004","77608",4,"000000000000"
,,,,,,,,0,"000000000000-0000","0005","77608",5,"000000000000"
,,,,,,,,0,"000000000000-0000","0006","77608",6,"000000000000"
,,,,,,,,0,"000000000000-0000","0001","77626",1,"000000000000"
,,,,,,,,0,"000000000000-0000","0002","77626",2,"000000000000"
,,,,,,,,0,"000000000000-0000","0003","77626",3,"000000000000"
,,,,,,,,0,"000000000000-0000","0004","77626",6,"000000000000"
,,,,,,,,0,"000000000000-0000","0005","77626",4,"000000000000"
,,,,,,,,0,"000000000000-0000","0006","77626",5,"000000000000"
,,,,,,,,0,"000000000000-0000","0001","77628",1,"000000000000"
,,,,,,,,0,"000000000000-0000","0002","77628",2,"000000000000"
,,,,,,,,0,"000000000000-0000","0003","77628",3,"000000000000"
,,,,,,,,0,"000000000000-0000","0004","77628",6,"000000000000"
,,,,,,,,0,"000000000000-0000","0005","77628",4,"000000000000"
,,,,,,,,0,"000000000000-0000","0006","77628",5,"000000000000"
,,,,,,,,0,"000000000000-0000","0039","77630",1,"000000000000"
,,,,,,,,0,"000000000000-0000","0099","77630",6,"000000000000"
,,,,,,,,0,"000000000000-0000","0115","77630",4,"000000000000"
,,,,,,,,0,"000000000000-0000","0116","77630",3,"000000000000"
,,,,,,,,0,"000000000000-0000","0623","77630",7,"000000000000"
,,,,,,,,0,"000000000000-0000","0626","77630",8,"000000000000"
,,,,,,,,0,"000000000000-0000","0628","77630",9,"000000000000"
,,,,,,,,0,"000000000000-0000","0696","77630",5,"000000000000"
,,,,,,,,0,"000000000000-0000","2142","77630",2,"000000000000"
,,,,,,,,0,"000000000000-0000","0001","77642",1,"000000000000"
