INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,PER_INFO_CTG_ID,CID,CATEGORY_CD,CATEGORY_NAME,ABOLITION_ATR
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00001","000000000000-0000","CS00001","社員データ管理",0
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00002","000000000000-0000","CS00002","個人基本情報",0
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00003","000000000000-0000","CS00003","入社・退職",0
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00004","000000000000-0000","CS00004","分類",0
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00014","000000000000-0000","CS00014","雇用",0
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00015","000000000000-0000","CS00015","部門本務",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00016","000000000000-0000","CS00016","職位",0
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00017","000000000000-0000","CS00017","職場",0
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00018","000000000000-0000","CS00018","休職休業",0
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00019","000000000000-0000","CS00019","短時間勤務",0
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00020","000000000000-0000","CS00020","労働条件",0
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00022","000000000000-0000","CS00022","個人連絡先",0
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00023","000000000000-0000","CS00023","業務連絡先",0
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00024","000000000000-0000","CS00024","年休情報",0
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00025","000000000000-0000","CS00025","特別休暇１",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00026","000000000000-0000","CS00026","特別休暇２",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00027","000000000000-0000","CS00027","特別休暇３",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00028","000000000000-0000","CS00028","特別休暇４",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00029","000000000000-0000","CS00029","特別休暇５",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00030","000000000000-0000","CS00030","特別休暇６",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00031","000000000000-0000","CS00031","特別休暇７",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00032","000000000000-0000","CS00032","特別休暇８",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00033","000000000000-0000","CS00033","特別休暇９",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00034","000000000000-0000","CS00034","特別休暇１０",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00035","000000000000-0000","CS00035","代休・振休等",0
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00036","000000000000-0000","CS00036","子の看護・介護休暇",0
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00037","000000000000-0000","CS00037","年休付与残数",0
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00038","000000000000-0000","CS00038","積立休暇付与残数",0
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00039","000000000000-0000","CS00039","特別休暇１付与残数",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00040","000000000000-0000","CS00040","特別休暇２付与残数",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00041","000000000000-0000","CS00041","特別休暇３付与残数",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00042","000000000000-0000","CS00042","特別休暇４付与残数",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00043","000000000000-0000","CS00043","特別休暇５付与残数",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00044","000000000000-0000","CS00044","特別休暇６付与残数",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00045","000000000000-0000","CS00045","特別休暇７付与残数",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00046","000000000000-0000","CS00046","特別休暇８付与残数",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00047","000000000000-0000","CS00047","特別休暇９付与残数",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00048","000000000000-0000","CS00048","特別休暇１０付与残数",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00049","000000000000-0000","CS00049","特別休暇１１",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00050","000000000000-0000","CS00050","特別休暇１２",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00051","000000000000-0000","CS00051","特別休暇１３",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00052","000000000000-0000","CS00052","特別休暇１４",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00053","000000000000-0000","CS00053","特別休暇１５",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00054","000000000000-0000","CS00054","特別休暇１６",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00055","000000000000-0000","CS00055","特別休暇１７",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00056","000000000000-0000","CS00056","特別休暇１８",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00057","000000000000-0000","CS00057","特別休暇１９",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00058","000000000000-0000","CS00058","特別休暇２０",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00059","000000000000-0000","CS00059","特別休暇１１付与残数",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00060","000000000000-0000","CS00060","特別休暇１２付与残数",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00061","000000000000-0000","CS00061","特別休暇１３付与残数",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00062","000000000000-0000","CS00062","特別休暇１４付与残数",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00063","000000000000-0000","CS00063","特別休暇１５付与残数",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00064","000000000000-0000","CS00064","特別休暇１６付与残数",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00065","000000000000-0000","CS00065","特別休暇１７付与残数",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00066","000000000000-0000","CS00066","特別休暇１８付与残数",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00067","000000000000-0000","CS00067","特別休暇１９付与残数",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00068","000000000000-0000","CS00068","特別休暇２０付与残数",1
,,,,,,,,0,"000000000000","TEN0_COM0_000000000000000000_CS00069","000000000000-0000","CS00069","打刻カード番号",0
