INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,ROLE_ID,FUNCTION_NO,IS_AVAILABLE
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000008",1,true
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000008",2,true
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000008",3,true
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000008",4,true
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000008",5,true
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000008",6,true
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000008",7,true
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000008",8,true
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000008",9,true
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000008",10,true
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000008",11,true
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000009",1,false
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000009",2,false
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000009",3,true
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000009",4,false
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000009",5,true
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000009",6,false
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000009",7,true
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000009",8,false
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000009",9,false
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000009",10,false
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000009",11,false
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000010",1,false
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000010",2,false
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000010",3,true
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000010",4,false
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000010",5,true
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000010",6,false
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000010",7,true
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000010",8,false
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000010",9,false
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000010",10,false
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000010",11,false
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000011",1,false
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000011",2,false
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000011",3,true
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000011",4,false
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000011",5,true
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000011",6,false
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000011",7,true
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000011",8,false
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000011",9,false
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000011",10,false
,,,,,,,,0,"000000000000","000000000000-0000","%GUID%ROLE_ID_0000000000000000000011",11,false
