INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,CODE,SUB_CODE
,,,,,,,,0,"000000000000","000000000000-0000","0003","0004"
,,,,,,,,0,"000000000000","000000000000-0000","0003","0005"
,,,,,,,,0,"000000000000","000000000000-0000","0003","0006"
,,,,,,,,0,"000000000000","000000000000-0000","0003","0010"
,,,,,,,,0,"000000000000","000000000000-0000","0003","0011"
,,,,,,,,0,"000000000000","000000000000-0000","0003","0012"
,,,,,,,,0,"000000000000","000000000000-0000","0003","0013"
,,,,,,,,0,"000000000000","000000000000-0000","0003","0014"
,,,,,,,,0,"000000000000","000000000000-0000","0003","0015"
,,,,,,,,0,"000000000000","000000000000-0000","0003","0016"
,,,,,,,,0,"000000000000","000000000000-0000","0003","0017"
,,,,,,,,0,"000000000000","000000000000-0000","0003","0018"
,,,,,,,,0,"000000000000","000000000000-0000","0003","0019"
,,,,,,,,0,"000000000000","000000000000-0000","0003","0023"
,,,,,,,,0,"000000000000","000000000000-0000","0020","0021"
,,,,,,,,0,"000000000000","000000000000-0000","0020","0022"
