INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,CODE,SORT
,,,,,,,,0,"000000000000","000000000000-0000","0001",1
,,,,,,,,0,"000000000000","000000000000-0000","0002",2
,,,,,,,,0,"000000000000","000000000000-0000","0003",3
,,,,,,,,0,"000000000000","000000000000-0000","0004",4
,,,,,,,,0,"000000000000","000000000000-0000","0005",5
,,,,,,,,0,"000000000000","000000000000-0000","0006",6
,,,,,,,,0,"000000000000","000000000000-0000","0007",7
,,,,,,,,0,"000000000000","000000000000-0000","0008",8
,,,,,,,,0,"000000000000","000000000000-0000","0009",9
,,,,,,,,0,"000000000000","000000000000-0000","0013",13
,,,,,,,,0,"000000000000","000000000000-0000","0014",14
,,,,,,,,0,"000000000000","000000000000-0000","0015",15
,,,,,,,,0,"000000000000","000000000000-0000","0016",16
,,,,,,,,0,"000000000000","000000000000-0000","0017",17
,,,,,,,,0,"000000000000","000000000000-0000","0018",18
,,,,,,,,0,"000000000000","000000000000-0000","0019",19
,,,,,,,,0,"000000000000","000000000000-0000","0011",11
,,,,,,,,0,"000000000000","000000000000-0000","0010",10
,,,,,,,,0,"000000000000","000000000000-0000","0012",12
