INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,TYPE,DETAIL_TYPE,DISP_ATR
,,,,,,,,0,"000000000000","000000000000-0000","0","0","1"
,,,,,,,,0,"000000000000","000000000000-0000","0","1","0"
,,,,,,,,0,"000000000000","000000000000-0000","0","2","0"
,,,,,,,,0,"000000000000","000000000000-0000","0","3","1"
,,,,,,,,0,"000000000000","000000000000-0000","1","1","1"
,,,,,,,,0,"000000000000","000000000000-0000","1","2","0"
,,,,,,,,0,"000000000000","000000000000-0000","1","3","0"
,,,,,,,,0,"000000000000","000000000000-0000","1","4","1"
,,,,,,,,0,"000000000000","000000000000-0000","1","5","1"
,,,,,,,,0,"000000000000","000000000000-0000","1","6","1"
,,,,,,,,0,"000000000000","000000000000-0000","1","7","1"
,,,,,,,,0,"000000000000","000000000000-0000","1","8","0"
,,,,,,,,0,"000000000000","000000000000-0000","1","9","0"
,,,,,,,,0,"000000000000","000000000000-0000","1","10","0"
,,,,,,,,0,"000000000000","000000000000-0000","1","11","0"
