ins_date,ins_ccd,ins_scd,ins_pg,upd_date,upd_ccd,upd_scd,upd_pg,exclus_ver,contract_cd,cid,web_menu_cd,menu_bar_id,title_bar_id,title_bar_name,background_color,image_file,text_color,title_menu_atr,title_menu_cd,display_order
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%MENU_BAR_ID_0000000000_900_001","%GUID%TITLE_BAR_ID_00000_900_001_001","共通マスタ","#666666",,"#FFFFFF",0,    ,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%MENU_BAR_ID_0000000000_900_001","%GUID%TITLE_BAR_ID_00000_900_001_002","個人情報","#666666",,"#FFFFFF",0,    ,2
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%MENU_BAR_ID_0000000000_900_001","%GUID%TITLE_BAR_ID_00000_900_001_003","就業マスタ","#666666",,"#FFFFFF",0,    ,3
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%MENU_BAR_ID_0000000000_900_001","%GUID%TITLE_BAR_ID_00000_900_001_004","年度設定","#666666",,"#FFFFFF",0,    ,4
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%MENU_BAR_ID_0000000000_900_001","%GUID%TITLE_BAR_ID_00000_900_001_005","休日・休暇","#666666",,"#FFFFFF",0,    ,5
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%MENU_BAR_ID_0000000000_900_001","%GUID%TITLE_BAR_ID_00000_900_001_006","自動処理","#666666",,"#FFFFFF",0,    ,6
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%MENU_BAR_ID_0000000000_900_002","%GUID%TITLE_BAR_ID_00000_900_002_001","前準備","#666666",,"#FFFFFF",0,    ,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%MENU_BAR_ID_0000000000_900_002","%GUID%TITLE_BAR_ID_00000_900_002_002","スケジュール","#666666",,"#FFFFFF",0,    ,2
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%MENU_BAR_ID_0000000000_900_003","%GUID%TITLE_BAR_ID_00000_900_003_001","前準備","#666666",,"#FFFFFF",0,    ,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%MENU_BAR_ID_0000000000_900_003","%GUID%TITLE_BAR_ID_00000_900_003_002","打刻","#666666",,"#FFFFFF",0,    ,2
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%MENU_BAR_ID_0000000000_900_004","%GUID%TITLE_BAR_ID_00000_900_004_001","前準備","#666666",,"#FFFFFF",0,    ,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%MENU_BAR_ID_0000000000_900_004","%GUID%TITLE_BAR_ID_00000_900_004_002","実績","#666666",,"#FFFFFF",0,    ,2
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%MENU_BAR_ID_0000000000_900_004","%GUID%TITLE_BAR_ID_00000_900_004_003","帳票","#666666",,"#FFFFFF",0,    ,3
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%MENU_BAR_ID_0000000000_900_004","%GUID%TITLE_BAR_ID_00000_900_004_004","アラームリスト","#666666",,"#FFFFFF",0,    ,4
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%MENU_BAR_ID_0000000000_900_005","%GUID%TITLE_BAR_ID_00000_900_005_001","前準備","#666666",,"#FFFFFF",0,    ,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%MENU_BAR_ID_0000000000_900_005","%GUID%TITLE_BAR_ID_00000_900_005_002","工数","#666666",,"#FFFFFF",0,    ,2
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%MENU_BAR_ID_0000000000_900_006","%GUID%TITLE_BAR_ID_00000_900_006_001","前準備","#666666",,"#FFFFFF",0,    ,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%MENU_BAR_ID_0000000000_900_006","%GUID%TITLE_BAR_ID_00000_900_006_002","申請","#666666",,"#FFFFFF",0,    ,2
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%MENU_BAR_ID_0000000000_900_006","%GUID%TITLE_BAR_ID_00000_900_006_003","申請・承認一覧","#666666",,"#FFFFFF",0,    ,3
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%MENU_BAR_ID_0000000000_900_006","%GUID%TITLE_BAR_ID_00000_900_006_004","承認状況の照会","#666666",,"#FFFFFF",0,    ,4
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%MENU_BAR_ID_0000000000_900_006","%GUID%TITLE_BAR_ID_00000_900_006_005","36申請","#666666",,"#FFFFFF",0,    ,5
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%MENU_BAR_ID_0000000000_900_007","%GUID%TITLE_BAR_ID_00000_900_007_001","前準備","#666666",,"#FFFFFF",0,    ,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%MENU_BAR_ID_0000000000_900_007","%GUID%TITLE_BAR_ID_00000_900_007_002","設備入力","#666666",,"#FFFFFF",0,    ,2
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%MENU_BAR_ID_0000000000_900_008","%GUID%TITLE_BAR_ID_00000_900_008_001","補助","#666666",,"#FFFFFF",0,    ,1
,,,,,,,,0,"000000000000","000000000000-0000","902","%GUID%MENU_BAR_ID_0000000000_902_001","%GUID%TITLE_BAR_ID_00000_902_001_001","前準備","#666666",,"#FFFFFF",0,    ,1
,,,,,,,,0,"000000000000","000000000000-0000","902","%GUID%MENU_BAR_ID_0000000000_902_001","%GUID%TITLE_BAR_ID_00000_902_001_002","スケジュール","#666666",,"#FFFFFF",0,    ,2
,,,,,,,,0,"000000000000","000000000000-0000","902","%GUID%MENU_BAR_ID_0000000000_902_002","%GUID%TITLE_BAR_ID_00000_902_002_001","前準備","#666666",,"#FFFFFF",0,    ,1
,,,,,,,,0,"000000000000","000000000000-0000","902","%GUID%MENU_BAR_ID_0000000000_902_002","%GUID%TITLE_BAR_ID_00000_902_002_002","打刻","#666666",,"#FFFFFF",0,    ,2
,,,,,,,,0,"000000000000","000000000000-0000","902","%GUID%MENU_BAR_ID_0000000000_902_003","%GUID%TITLE_BAR_ID_00000_902_003_001","実績","#666666",,"#FFFFFF",0,    ,1
,,,,,,,,0,"000000000000","000000000000-0000","902","%GUID%MENU_BAR_ID_0000000000_902_003","%GUID%TITLE_BAR_ID_00000_902_003_002","帳票","#666666",,"#FFFFFF",0,    ,2
