ins_date,ins_ccd,ins_scd,ins_pg,upd_date,upd_ccd,upd_scd,upd_pg,exclus_ver,contract_cd,cid,web_menu_cd,title_bar_id,menu_bar_id,display_order,code,menu_cls,system
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","000","TITLE_BAR_ID_00000000000_000_001_001","MENU_BAR_ID_0000000000000000_000_001",1,"0001",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","000","TITLE_BAR_ID_00000000000_000_001_001","MENU_BAR_ID_0000000000000000_000_001",2,"0010",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","000","TITLE_BAR_ID_00000000000_000_001_001","MENU_BAR_ID_0000000000000000_000_001",3,"0000",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","000","TITLE_BAR_ID_00000000000_000_001_001","MENU_BAR_ID_0000000000000000_000_001",4,"0017",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","000","TITLE_BAR_ID_00000000000_000_001_001","MENU_BAR_ID_0000000000000000_000_001",5,"0018",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","000","TITLE_BAR_ID_00000000000_000_001_001","MENU_BAR_ID_0000000000000000_000_001",6,"0023",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","000","TITLE_BAR_ID_00000000000_000_001_001","MENU_BAR_ID_0000000000000000_000_001",7,"0024",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","000","TITLE_BAR_ID_00000000000_000_001_001","MENU_BAR_ID_0000000000000000_000_001",8,"0000",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","000","TITLE_BAR_ID_00000000000_000_001_001","MENU_BAR_ID_0000000000000000_000_001",9,"0282",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","000","TITLE_BAR_ID_00000000000_000_001_001","MENU_BAR_ID_0000000000000000_000_001",10,"0032",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","000","TITLE_BAR_ID_00000000000_000_001_001","MENU_BAR_ID_0000000000000000_000_001",11,"0134",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","000","TITLE_BAR_ID_00000000000_000_001_001","MENU_BAR_ID_0000000000000000_000_001",12,"0044",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","000","TITLE_BAR_ID_00000000000_000_001_001","MENU_BAR_ID_0000000000000000_000_001",13,"0000",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","000","TITLE_BAR_ID_00000000000_000_001_001","MENU_BAR_ID_0000000000000000_000_001",14,"0194",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","000","TITLE_BAR_ID_00000000000_000_001_001","MENU_BAR_ID_0000000000000000_000_001",15,"0089",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","000","TITLE_BAR_ID_00000000000_000_001_001","MENU_BAR_ID_0000000000000000_000_001",16,"0033",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_001","MENU_BAR_ID_0000000000000000_001_001",1,"0089",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_001","MENU_BAR_ID_0000000000000000_001_001",2,"0000",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_001","MENU_BAR_ID_0000000000000000_001_001",3,"0027",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_001","MENU_BAR_ID_0000000000000000_001_001",4,"0007",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_001","MENU_BAR_ID_0000000000000000_001_001",5,"0008",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_001","MENU_BAR_ID_0000000000000000_001_001",6,"0011",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_001","MENU_BAR_ID_0000000000000000_001_001",7,"0000",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_001","MENU_BAR_ID_0000000000000000_001_001",8,"0009",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_001","MENU_BAR_ID_0000000000000000_001_001",9,"0012",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_003","MENU_BAR_ID_0000000000000000_001_001",1,"0273",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_003","MENU_BAR_ID_0000000000000000_001_001",2,"0015",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_003","MENU_BAR_ID_0000000000000000_001_001",3,"0016",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_003","MENU_BAR_ID_0000000000000000_001_001",4,"0021",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_003","MENU_BAR_ID_0000000000000000_001_001",5,"0000",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_003","MENU_BAR_ID_0000000000000000_001_001",6,"0019",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_003","MENU_BAR_ID_0000000000000000_001_001",7,"0020",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_004","MENU_BAR_ID_0000000000000000_001_001",1,"0082",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_004","MENU_BAR_ID_0000000000000000_001_001",2,"0057",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_004","MENU_BAR_ID_0000000000000000_001_001",3,"0083",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_004","MENU_BAR_ID_0000000000000000_001_001",4,"0000",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_004","MENU_BAR_ID_0000000000000000_001_001",5,"0059",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_004","MENU_BAR_ID_0000000000000000_001_001",6,"0063",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_004","MENU_BAR_ID_0000000000000000_001_001",7,"0075",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_002","MENU_BAR_ID_0000000000000000_001_001",1,"0002",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_002","MENU_BAR_ID_0000000000000000_001_001",2,"0003",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_002","MENU_BAR_ID_0000000000000000_001_001",3,"0004",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_002","MENU_BAR_ID_0000000000000000_001_001",4,"0005",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_002","MENU_BAR_ID_0000000000000000_001_001",5,"0000",0,0
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_002","MENU_BAR_ID_0000000000000000_001_001",6,"0010",0,1
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_002","MENU_BAR_ID_0000000000000000_001_001",7,"0007",0,1
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_002","MENU_BAR_ID_0000000000000000_001_001",8,"0003",0,1
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","TITLE_BAR_ID_00000000000_001_001_002","MENU_BAR_ID_0000000000000000_001_001",9,"0019",0,1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%TITLE_BAR_ID_00000_900_001_001","%GUID%MENU_BAR_ID_0000000000_900_001",1,"0274",0,0
