INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CATEGORY_CD,ITEM_CD,ITEM_PARENT_CD,SYSTEM_REQUIRED_ATR,REQUIRE_CHANGABLED_ATR,FIXED_ATR,ITEM_TYPE,DATA_TYPE,TIME_ITEM_MIN,TIME_ITEM_MAX,TIMEPOINT_ITEM_MIN,TIMEPOINT_ITEM_MAX,DATE_ITEM_TYPE,STRING_ITEM_TYPE,STRING_ITEM_LENGTH,STRING_ITEM_DATA_TYPE,NUMERIC_ITEM_MIN,NUMERIC_ITEM_MAX,NUMERIC_ITEM_AMOUNT_ATR,NUMERIC_ITEM_MINUS_ATR,NUMERIC_ITEM_DECIMAL_PART,NUMERIC_ITEM_INTEGER_PART,SELECTION_ITEM_REF_TYPE,SELECTION_ITEM_REF_CODE,RELATED_CATEGORY_CD,RESOURCE_ID,CAN_ABOLITION
,,,,,,,,0,"000000000001","CS00001","IS00001",,0,0,1,2,1,,,,,,7,12,2,,,,,,,,,,,0
,,,,,,,,0,"000000000001","CS00001","IS00002",,0,1,1,2,1,,,,,,2,12,2,,,,,,,,,,,1
,,,,,,,,0,"000000000001","CS00002","IS00003",,0,0,1,2,1,,,,,,1,40,2,,,,,,,,,,,0
,,,,,,,,0,"000000000001","CS00002","IS00004",,1,0,1,2,1,,,,,,5,40,2,,,,,,,,,,,0
,,,,,,,,0,"000000000001","CS00002","IS00005",,0,1,1,2,1,,,,,,2,40,2,,,,,,,,,,,1
,,,,,,,,0,"000000000001","CS00002","IS00006",,0,1,1,2,1,,,,,,5,40,2,,,,,,,,,,,1
,,,,,,,,0,"000000000001","CS00002","IS00007",,0,1,1,2,1,,,,,,1,40,2,,,,,,,,,,,1
,,,,,,,,0,"000000000001","CS00002","IS00008",,0,1,1,2,1,,,,,,5,40,2,,,,,,,,,,,1
,,,,,,,,0,"000000000001","CS00002","IS00009",,1,0,1,2,1,,,,,,1,40,2,,,,,,,,,,,0
,,,,,,,,0,"000000000001","CS00002","IS00018",,1,0,1,2,6,,,,,,,,,,,,,,,3,"E00001",,,0
