INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,TIME_ITEM_NO,TYPE_ATR,USE_ATR,TIME_ITEM_NAME
,,,,,,,,0,"000000000000","000000000000-0000",1,0,0,"加給1"
,,,,,,,,0,"000000000000","000000000000-0000",2,0,0,"加給2"
,,,,,,,,0,"000000000000","000000000000-0000",3,0,0,"加給3"
,,,,,,,,0,"000000000000","000000000000-0000",4,0,0,"加給4"
,,,,,,,,0,"000000000000","000000000000-0000",5,0,0,"加給5"
,,,,,,,,0,"000000000000","000000000000-0000",6,0,0,"加給6"
,,,,,,,,0,"000000000000","000000000000-0000",7,0,0,"加給7"
,,,,,,,,0,"000000000000","000000000000-0000",8,0,0,"加給8"
,,,,,,,,0,"000000000000","000000000000-0000",9,0,0,"加給9"
,,,,,,,,0,"000000000000","000000000000-0000",10,0,0,"加給10"
,,,,,,,,0,"000000000000","000000000000-0000",1,1,0,"特定日加給1"
,,,,,,,,0,"000000000000","000000000000-0000",2,1,0,"特定日加給2"
,,,,,,,,0,"000000000000","000000000000-0000",3,1,0,"特定日加給3"
,,,,,,,,0,"000000000000","000000000000-0000",4,1,0,"特定日加給4"
,,,,,,,,0,"000000000000","000000000000-0000",5,1,0,"特定日加給5"
,,,,,,,,0,"000000000000","000000000000-0000",6,1,0,"特定日加給6"
,,,,,,,,0,"000000000000","000000000000-0000",7,1,0,"特定日加給7"
,,,,,,,,0,"000000000000","000000000000-0000",8,1,0,"特定日加給8"
,,,,,,,,0,"000000000000","000000000000-0000",9,1,0,"特定日加給9"
,,,,,,,,0,"000000000000","000000000000-0000",10,1,0,"特定日加給10"
