INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,NO,DVGC_TIME_NAME,DVGC_TIME_USE_SET,DVGC_REASON_SELECTED,DVGC_REASON_INPUTED,REASON_INPUT_CANCELED,REASON_SELECT_CANCELED,DVGC_TYPE
,,,,,,,,0,"000000000000","000000000000-0000",1,"早出残業乖離","0","0","0","0","0","8"
,,,,,,,,0,"000000000000","000000000000-0000",2,"普通残業乖離","0","0","0","0","0","9"
,,,,,,,,0,"000000000000","000000000000-0000",3,"休出時間乖離","0","0","0","0","0","1"
,,,,,,,,0,"000000000000","000000000000-0000",4,"入門乖離","0","0","0","0","0","2"
,,,,,,,,0,"000000000000","000000000000-0000",5,"退門乖離","0","0","0","0","0","3"
,,,,,,,,0,"000000000000","000000000000-0000",6,"PCログオン乖離","0","0","0","0","0","4"
,,,,,,,,0,"000000000000","000000000000-0000",7,"PCログオフ乖離","0","0","0","0","0","5"
,,,,,,,,0,"000000000000","000000000000-0000",8,"乖離時間8","0","0","0","0","0","0"
,,,,,,,,0,"000000000000","000000000000-0000",9,"乖離時間9","0","0","0","0","0","0"
,,,,,,,,0,"000000000000","000000000000-0000",10,"乖離時間10","0","0","0","0","0","0"
