INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,ABSENCE_FRAME_NO,NAME,USE_ATR
,,,,,,,,"0","000000000000","000000000000-0000","1","欠勤枠1","1"
,,,,,,,,"0","000000000000","000000000000-0000","2","欠勤枠2","1"
,,,,,,,,"0","000000000000","000000000000-0000","3","欠勤枠3","1"
,,,,,,,,"0","000000000000","000000000000-0000","4","欠勤枠4","1"
,,,,,,,,"0","000000000000","000000000000-0000","5","欠勤枠5","1"
,,,,,,,,"0","000000000000","000000000000-0000","6","欠勤枠6","1"
,,,,,,,,"0","000000000000","000000000000-0000","7","欠勤枠7","1"
,,,,,,,,"0","000000000000","000000000000-0000","8","欠勤枠8","1"
,,,,,,,,"0","000000000000","000000000000-0000","9","欠勤枠9","1"
,,,,,,,,"0","000000000000","000000000000-0000","10","欠勤枠10","1"
,,,,,,,,"0","000000000000","000000000000-0000","11","欠勤枠11","1"
,,,,,,,,"0","000000000000","000000000000-0000","12","欠勤枠12","1"
,,,,,,,,"0","000000000000","000000000000-0000","13","欠勤枠13","1"
,,,,,,,,"0","000000000000","000000000000-0000","14","欠勤枠14","1"
,,,,,,,,"0","000000000000","000000000000-0000","15","欠勤枠15","1"
,,,,,,,,"0","000000000000","000000000000-0000","16","欠勤枠16","1"
,,,,,,,,"0","000000000000","000000000000-0000","17","欠勤枠17","1"
,,,,,,,,"0","000000000000","000000000000-0000","18","欠勤枠18","1"
,,,,,,,,"0","000000000000","000000000000-0000","19","欠勤枠19","1"
,,,,,,,,"0","000000000000","000000000000-0000","20","欠勤枠20","1"
,,,,,,,,"0","000000000000","000000000000-0000","21","欠勤枠21","1"
,,,,,,,,"0","000000000000","000000000000-0000","22","欠勤枠22","1"
,,,,,,,,"0","000000000000","000000000000-0000","23","欠勤枠23","1"
,,,,,,,,"0","000000000000","000000000000-0000","24","欠勤枠24","1"
,,,,,,,,"0","000000000000","000000000000-0000","25","欠勤枠25","1"
,,,,,,,,"0","000000000000","000000000000-0000","26","欠勤枠26","1"
,,,,,,,,"0","000000000000","000000000000-0000","27","欠勤枠27","1"
,,,,,,,,"0","000000000000","000000000000-0000","28","欠勤枠28","1"
,,,,,,,,"0","000000000000","000000000000-0000","29","欠勤枠29","1"
,,,,,,,,"0","000000000000","000000000000-0000","30","欠勤枠30","1"
