INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,TOTAL_TIMES_NO,USE_ATR,COUNT_ATR,TOTAL_TIMES_NAME,TOTAL_TIMES_ABNAME,SUMMARY_ATR
,,,,,,,,"0","000000000000","000000000000-0000","1","0","0","回数集計1","回01","0"
,,,,,,,,"0","000000000000","000000000000-0000","2","0","0","回数集計2","回02","0"
,,,,,,,,"0","000000000000","000000000000-0000","3","0","0","回数集計3","回03","0"
,,,,,,,,"0","000000000000","000000000000-0000","4","0","0","回数集計4","回04","0"
,,,,,,,,"0","000000000000","000000000000-0000","5","0","0","回数集計5","回05","0"
,,,,,,,,"0","000000000000","000000000000-0000","6","0","0","回数集計6","回06","0"
,,,,,,,,"0","000000000000","000000000000-0000","7","0","0","回数集計7","回07","0"
,,,,,,,,"0","000000000000","000000000000-0000","8","0","0","回数集計8","回08","0"
,,,,,,,,"0","000000000000","000000000000-0000","9","0","0","回数集計9","回09","0"
,,,,,,,,"0","000000000000","000000000000-0000","10","0","0","回数集計10","回10","0"
,,,,,,,,"0","000000000000","000000000000-0000","11","0","0","回数集計11","回11","0"
,,,,,,,,"0","000000000000","000000000000-0000","12","0","0","回数集計12","回12","0"
,,,,,,,,"0","000000000000","000000000000-0000","13","0","0","回数集計13","回13","0"
,,,,,,,,"0","000000000000","000000000000-0000","14","0","0","回数集計14","回14","0"
,,,,,,,,"0","000000000000","000000000000-0000","15","0","0","回数集計15","回15","0"
,,,,,,,,"0","000000000000","000000000000-0000","16","0","0","回数集計16","回16","0"
,,,,,,,,"0","000000000000","000000000000-0000","17","0","0","回数集計17","回17","0"
,,,,,,,,"0","000000000000","000000000000-0000","18","0","0","回数集計18","回18","0"
,,,,,,,,"0","000000000000","000000000000-0000","19","0","0","回数集計19","回19","0"
,,,,,,,,"0","000000000000","000000000000-0000","20","0","0","回数集計20","回20","0"
,,,,,,,,"0","000000000000","000000000000-0000","21","0","0","回数集計21","回21","0"
,,,,,,,,"0","000000000000","000000000000-0000","22","0","0","回数集計22","回22","0"
,,,,,,,,"0","000000000000","000000000000-0000","23","0","0","回数集計23","回23","0"
,,,,,,,,"0","000000000000","000000000000-0000","24","0","0","回数集計24","回24","0"
,,,,,,,,"0","000000000000","000000000000-0000","25","0","0","回数集計25","回25","0"
,,,,,,,,"0","000000000000","000000000000-0000","26","0","0","回数集計26","回26","0"
,,,,,,,,"0","000000000000","000000000000-0000","27","0","0","回数集計27","回27","0"
,,,,,,,,"0","000000000000","000000000000-0000","28","0","0","回数集計28","回28","0"
,,,,,,,,"0","000000000000","000000000000-0000","29","0","0","回数集計29","回29","0"
,,,,,,,,"0","000000000000","000000000000-0000","30","0","0","回数集計30","回30","0"
